序号,时间,open,high,low,close,原始K数,原始起点,原始终点
18,2019-11-01 17:00:00+00:00,9150.75,9202.0,9138.94,9159.94,1,2019-11-01 17:00:00+00:00,2019-11-01 17:00:00+00:00
19,2019-11-01 18:00:00+00:00,9160.16,9205.2,9148.84,9181.11,1,2019-11-01 18:00:00+00:00,2019-11-01 18:00:00+00:00
20,2019-11-01 19:00:00+00:00,9167.15,9213.57,9167.15,9213.57,2,2019-11-01 19:00:00+00:00,2019-11-01 20:00:00+00:00
21,2019-11-01 21:00:00+00:00,9190.15,9275.0,9180.0,9259.21,1,2019-11-01 21:00:00+00:00,2019-11-01 21:00:00+00:00
22,2019-11-01 22:00:00+00:00,9277.16,9277.16,9224.03,9224.03,4,2019-11-01 22:00:00+00:00,2019-11-02 01:00:00+00:00
23,2019-11-02 02:00:00+00:00,9238.37,9249.98,9209.99,9249.88,1,2019-11-02 02:00:00+00:00,2019-11-02 02:00:00+00:00
24,2019-11-02 03:00:00+00:00,9248.98,9251.01,9225.07,9236.67,1,2019-11-02 03:00:00+00:00,2019-11-02 03:00:00+00:00
25,2019-11-02 04:00:00+00:00,9236.27,9242.95,9196.0,9200.0,1,2019-11-02 04:00:00+00:00,2019-11-02 04:00:00+00:00
26,2019-11-02 05:00:00+00:00,9200.81,9227.99,9191.02,9216.7,1,2019-11-02 05:00:00+00:00,2019-11-02 05:00:00+00:00
27,2019-11-02 06:00:00+00:00,9186.21,9220.0,9186.21,9220.0,2,2019-11-02 06:00:00+00:00,2019-11-02 07:00:00+00:00
28,2019-11-02 08:00:00+00:00,9201.55,9240.59,9201.55,9240.59,3,2019-11-02 08:00:00+00:00,2019-11-02 10:00:00+00:00
29,2019-11-02 12:00:00+00:00,9214.84,9350.0,9214.84,9350.0,2,2019-11-02 11:00:00+00:00,2019-11-02 12:00:00+00:00
30,2019-11-02 13:00:00+00:00,9373.74,9373.74,9308.88,9308.88,2,2019-11-02 13:00:00+00:00,2019-11-02 14:00:00+00:00
31,2019-11-02 15:00:00+00:00,9309.42,9324.39,9273.15,9324.36,1,2019-11-02 15:00:00+00:00,2019-11-02 15:00:00+00:00
32,2019-11-02 16:00:00+00:00,9323.01,9338.81,9294.77,9311.11,1,2019-11-02 16:00:00+00:00,2019-11-02 16:00:00+00:00
33,2019-11-02 17:00:00+00:00,9311.07,9330.0,9281.0,9288.39,1,2019-11-02 17:00:00+00:00,2019-11-02 17:00:00+00:00
34,2019-11-02 18:00:00+00:00,9288.38,9304.0,9264.59,9285.0,1,2019-11-02 18:00:00+00:00,2019-11-02 18:00:00+00:00
35,2019-11-02 19:00:00+00:00,9320.0,9320.0,9281.43,9281.43,2,2019-11-02 19:00:00+00:00,2019-11-02 20:00:00+00:00
36,2019-11-02 21:00:00+00:00,9303.37,9303.52,9271.02,9271.97,1,2019-11-02 21:00:00+00:00,2019-11-02 21:00:00+00:00
37,2019-11-02 22:00:00+00:00,9270.52,9298.24,9270.52,9298.24,2,2019-11-02 22:00:00+00:00,2019-11-02 23:00:00+00:00
38,2019-11-03 00:00:00+00:00,9299.09,9340.35,9299.09,9340.35,2,2019-11-03 00:00:00+00:00,2019-11-03 01:00:00+00:00
39,2019-11-03 02:00:00+00:00,9362.57,9362.57,9314.19,9314.19,2,2019-11-03 02:00:00+00:00,2019-11-03 03:00:00+00:00
40,2019-11-03 04:00:00+00:00,9329.75,9330.4,9241.0,9260.24,1,2019-11-03 04:00:00+00:00,2019-11-03 04:00:00+00:00
41,2019-11-03 05:00:00+00:00,9260.25,9271.15,9225.01,9263.05,1,2019-11-03 05:00:00+00:00,2019-11-03 05:00:00+00:00
42,2019-11-03 06:00:00+00:00,9262.9,9284.59,9251.57,9262.32,1,2019-11-03 06:00:00+00:00,2019-11-03 06:00:00+00:00
43,2019-11-03 07:00:00+00:00,9258.8,9272.0,9236.57,9239.61,1,2019-11-03 07:00:00+00:00,2019-11-03 07:00:00+00:00
44,2019-11-03 08:00:00+00:00,9237.89,9237.89,9182.0,9182.0,2,2019-11-03 08:00:00+00:00,2019-11-03 09:00:00+00:00
45,2019-11-03 10:00:00+00:00,9109.0,9173.15,9109.0,9173.15,2,2019-11-03 10:00:00+00:00,2019-11-03 11:00:00+00:00
46,2019-11-03 12:00:00+00:00,9155.26,9165.0,9101.0,9150.08,1,2019-11-03 12:00:00+00:00,2019-11-03 12:00:00+00:00
47,2019-11-03 13:00:00+00:00,9150.08,9179.32,9132.04,9163.76,1,2019-11-03 13:00:00+00:00,2019-11-03 13:00:00+00:00
48,2019-11-03 14:00:00+00:00,9163.76,9186.63,9135.04,9145.79,1,2019-11-03 14:00:00+00:00,2019-11-03 14:00:00+00:00
49,2019-11-03 15:00:00+00:00,9180.0,9180.0,9130.0,9130.0,2,2019-11-03 15:00:00+00:00,2019-11-03 16:00:00+00:00
50,2019-11-03 17:00:00+00:00,9112.95,9163.08,9112.95,9163.08,2,2019-11-03 17:00:00+00:00,2019-11-03 18:00:00+00:00
51,2019-11-03 19:00:00+00:00,9133.56,9174.06,9133.56,9174.06,2,2019-11-03 19:00:00+00:00,2019-11-03 20:00:00+00:00
52,2019-11-03 21:00:00+00:00,9151.72,9171.99,9066.14,9145.31,1,2019-11-03 21:00:00+00:00,2019-11-03 21:00:00+00:00
53,2019-11-03 22:00:00+00:00,9145.31,9214.99,9142.98,9203.44,1,2019-11-03 22:00:00+00:00,2019-11-03 22:00:00+00:00
54,2019-11-03 23:00:00+00:00,9204.98,9236.0,9183.59,9194.71,1,2019-11-03 23:00:00+00:00,2019-11-03 23:00:00+00:00
55,2019-11-04 00:00:00+00:00,9196.46,9209.82,9145.62,9165.74,1,2019-11-04 00:00:00+00:00,2019-11-04 00:00:00+00:00
56,2019-11-04 01:00:00+00:00,9165.73,9168.42,9136.0,9158.04,1,2019-11-04 01:00:00+00:00,2019-11-04 01:00:00+00:00
