序号,一致,本项目方向,CZSC方向,本项目起点,CZSC起点,本项目终点,CZSC终点,本项目无包含K数,CZSC无包含K数,本项目内部分型,CZSC内部分型,本项目K线时间,CZSC K线时间
10,True,向上,向上,2019-10-20T02:00:00+00:00 D 7870,2019-10-20T02:00:00+00:00 D 7870,2019-10-21T15:00:00+00:00 G 8333,2019-10-21T15:00:00+00:00 G 8333,29,29,2019-10-20T02:00:00+00:00:D:7870 | 2019-10-20T06:00:00+00:00:G:7940.47 | 2019-10-20T08:00:00+00:00:D:7883 | 2019-10-20T20:00:00+00:00:G:8297 | 2019-10-20T23:00:00+00:00:D:8165.36 | 2019-10-21T00:00:00+00:00:G:8235 | 2019-10-21T01:00:00+00:00:D:8183 | 2019-10-21T02:00:00+00:00:G:8251.41 | 2019-10-21T04:00:00+00:00:D:8201.63 | 2019-10-21T06:00:00+00:00:G:8249.18 | 2019-10-21T09:00:00+00:00:D:8189.89 | 2019-10-21T10:00:00+00:00:G:8286.28 | 2019-10-21T13:00:00+00:00:D:8219.87 | 2019-10-21T15:00:00+00:00:G:8333,2019-10-20T02:00:00+00:00:D:7870 | 2019-10-20T06:00:00+00:00:G:7940.47 | 2019-10-20T08:00:00+00:00:D:7883 | 2019-10-20T20:00:00+00:00:G:8297 | 2019-10-20T23:00:00+00:00:D:8165.36 | 2019-10-21T00:00:00+00:00:G:8235 | 2019-10-21T01:00:00+00:00:D:8183 | 2019-10-21T02:00:00+00:00:G:8251.41 | 2019-10-21T04:00:00+00:00:D:8201.63 | 2019-10-21T06:00:00+00:00:G:8249.18 | 2019-10-21T09:00:00+00:00:D:8189.89 | 2019-10-21T10:00:00+00:00:G:8286.28 | 2019-10-21T13:00:00+00:00:D:8219.87 | 2019-10-21T15:00:00+00:00:G:8333,2019-10-20T01:00:00+00:00 | 2019-10-20T02:00:00+00:00 | 2019-10-20T06:00:00+00:00 | 2019-10-20T07:00:00+00:00 | 2019-10-20T08:00:00+00:00 | 2019-10-20T09:00:00+00:00 | 2019-10-20T12:00:00+00:00 | 2019-10-20T14:00:00+00:00 | 2019-10-20T15:00:00+00:00 | 2019-10-20T16:00:00+00:00 | 2019-10-20T17:00:00+00:00 | 2019-10-20T18:00:00+00:00 | 2019-10-20T19:00:00+00:00 | 2019-10-20T20:00:00+00:00 | 2019-10-20T21:00:00+00:00 | 2019-10-20T23:00:00+00:00 | 2019-10-21T00:00:00+00:00 | 2019-10-21T01:00:00+00:00 | 2019-10-21T02:00:00+00:00 | 2019-10-21T04:00:00+00:00 | 2019-10-21T05:00:00+00:00 | 2019-10-21T06:00:00+00:00 | 2019-10-21T07:00:00+00:00 | 2019-10-21T08:00:00+00:00 | 2019-10-21T09:00:00+00:00 | 2019-10-21T10:00:00+00:00 | 2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00,2019-10-20T01:00:00+00:00 | 2019-10-20T02:00:00+00:00 | 2019-10-20T06:00:00+00:00 | 2019-10-20T07:00:00+00:00 | 2019-10-20T08:00:00+00:00 | 2019-10-20T09:00:00+00:00 | 2019-10-20T12:00:00+00:00 | 2019-10-20T14:00:00+00:00 | 2019-10-20T15:00:00+00:00 | 2019-10-20T16:00:00+00:00 | 2019-10-20T17:00:00+00:00 | 2019-10-20T18:00:00+00:00 | 2019-10-20T19:00:00+00:00 | 2019-10-20T20:00:00+00:00 | 2019-10-20T21:00:00+00:00 | 2019-10-20T23:00:00+00:00 | 2019-10-21T00:00:00+00:00 | 2019-10-21T01:00:00+00:00 | 2019-10-21T02:00:00+00:00 | 2019-10-21T04:00:00+00:00 | 2019-10-21T05:00:00+00:00 | 2019-10-21T06:00:00+00:00 | 2019-10-21T07:00:00+00:00 | 2019-10-21T08:00:00+00:00 | 2019-10-21T09:00:00+00:00 | 2019-10-21T10:00:00+00:00 | 2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00
11,True,向下,向下,2019-10-21T15:00:00+00:00 G 8333,2019-10-21T15:00:00+00:00 G 8333,2019-10-23T05:00:00+00:00 D 7920,2019-10-23T05:00:00+00:00 D 7920,30,30,2019-10-21T15:00:00+00:00:G:8333 | 2019-10-21T16:00:00+00:00:D:8142.03 | 2019-10-21T21:00:00+00:00:G:8229.88 | 2019-10-22T01:00:00+00:00:D:8159.96 | 2019-10-22T05:00:00+00:00:G:8218.55 | 2019-10-22T06:00:00+00:00:D:8187.49 | 2019-10-22T12:00:00+00:00:G:8297.99 | 2019-10-22T15:00:00+00:00:D:8165 | 2019-10-22T16:00:00+00:00:G:8223.24 | 2019-10-23T00:00:00+00:00:D:8000 | 2019-10-23T01:00:00+00:00:G:8047.59 | 2019-10-23T05:00:00+00:00:D:7920,2019-10-21T15:00:00+00:00:G:8333 | 2019-10-21T16:00:00+00:00:D:8142.03 | 2019-10-21T21:00:00+00:00:G:8229.88 | 2019-10-22T01:00:00+00:00:D:8159.96 | 2019-10-22T05:00:00+00:00:G:8218.55 | 2019-10-22T06:00:00+00:00:D:8187.49 | 2019-10-22T12:00:00+00:00:G:8297.99 | 2019-10-22T15:00:00+00:00:D:8165 | 2019-10-22T16:00:00+00:00:G:8223.24 | 2019-10-23T00:00:00+00:00:D:8000 | 2019-10-23T01:00:00+00:00:G:8047.59 | 2019-10-23T05:00:00+00:00:D:7920,2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00 | 2019-10-21T18:00:00+00:00 | 2019-10-21T20:00:00+00:00 | 2019-10-21T21:00:00+00:00 | 2019-10-21T22:00:00+00:00 | 2019-10-21T23:00:00+00:00 | 2019-10-22T00:00:00+00:00 | 2019-10-22T01:00:00+00:00 | 2019-10-22T03:00:00+00:00 | 2019-10-22T04:00:00+00:00 | 2019-10-22T05:00:00+00:00 | 2019-10-22T06:00:00+00:00 | 2019-10-22T07:00:00+00:00 | 2019-10-22T08:00:00+00:00 | 2019-10-22T12:00:00+00:00 | 2019-10-22T13:00:00+00:00 | 2019-10-22T14:00:00+00:00 | 2019-10-22T15:00:00+00:00 | 2019-10-22T16:00:00+00:00 | 2019-10-22T18:00:00+00:00 | 2019-10-22T19:00:00+00:00 | 2019-10-22T20:00:00+00:00 | 2019-10-23T00:00:00+00:00 | 2019-10-23T01:00:00+00:00 | 2019-10-23T02:00:00+00:00 | 2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00,2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00 | 2019-10-21T18:00:00+00:00 | 2019-10-21T20:00:00+00:00 | 2019-10-21T21:00:00+00:00 | 2019-10-21T22:00:00+00:00 | 2019-10-21T23:00:00+00:00 | 2019-10-22T00:00:00+00:00 | 2019-10-22T01:00:00+00:00 | 2019-10-22T03:00:00+00:00 | 2019-10-22T04:00:00+00:00 | 2019-10-22T05:00:00+00:00 | 2019-10-22T06:00:00+00:00 | 2019-10-22T07:00:00+00:00 | 2019-10-22T08:00:00+00:00 | 2019-10-22T12:00:00+00:00 | 2019-10-22T13:00:00+00:00 | 2019-10-22T14:00:00+00:00 | 2019-10-22T15:00:00+00:00 | 2019-10-22T16:00:00+00:00 | 2019-10-22T18:00:00+00:00 | 2019-10-22T19:00:00+00:00 | 2019-10-22T20:00:00+00:00 | 2019-10-23T00:00:00+00:00 | 2019-10-23T01:00:00+00:00 | 2019-10-23T02:00:00+00:00 | 2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00
12,True,向上,向上,2019-10-23T05:00:00+00:00 D 7920,2019-10-23T05:00:00+00:00 D 7920,2019-10-23T10:00:00+00:00 G 8011.96,2019-10-23T10:00:00+00:00 G 8011.96,8,8,2019-10-23T05:00:00+00:00:D:7920 | 2019-10-23T10:00:00+00:00:G:8011.96,2019-10-23T05:00:00+00:00:D:7920 | 2019-10-23T10:00:00+00:00:G:8011.96,2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00 | 2019-10-23T07:00:00+00:00 | 2019-10-23T08:00:00+00:00 | 2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00,2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00 | 2019-10-23T07:00:00+00:00 | 2019-10-23T08:00:00+00:00 | 2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00
13,True,向下,向下,2019-10-23T10:00:00+00:00 G 8011.96,2019-10-23T10:00:00+00:00 G 8011.96,2019-10-23T16:00:00+00:00 D 7300,2019-10-23T16:00:00+00:00 D 7300,6,6,2019-10-23T10:00:00+00:00:G:8011.96 | 2019-10-23T16:00:00+00:00:D:7300,2019-10-23T10:00:00+00:00:G:8011.96 | 2019-10-23T16:00:00+00:00:D:7300,2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00 | 2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00,2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00 | 2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00
14,True,向上,向上,2019-10-23T16:00:00+00:00 D 7300,2019-10-23T16:00:00+00:00 D 7300,2019-10-26T01:00:00+00:00 G 10370,2019-10-26T01:00:00+00:00 G 10370,46,46,2019-10-23T16:00:00+00:00:D:7300 | 2019-10-23T18:00:00+00:00:G:7535.55 | 2019-10-23T22:00:00+00:00:D:7386.37 | 2019-10-24T00:00:00+00:00:G:7497.96 | 2019-10-24T06:00:00+00:00:D:7337.99 | 2019-10-24T09:00:00+00:00:G:7478 | 2019-10-24T11:00:00+00:00:D:7413 | 2019-10-24T14:00:00+00:00:G:7503.68 | 2019-10-24T15:00:00+00:00:D:7413.43 | 2019-10-24T19:00:00+00:00:G:7479 | 2019-10-24T21:00:00+00:00:D:7429.41 | 2019-10-24T23:00:00+00:00:G:7465.75 | 2019-10-25T00:00:00+00:00:D:7411.94 | 2019-10-25T02:00:00+00:00:G:7459.29 | 2019-10-25T05:00:00+00:00:D:7361 | 2019-10-25T08:00:00+00:00:G:7475 | 2019-10-25T10:00:00+00:00:D:7439 | 2019-10-25T17:00:00+00:00:G:8799 | 2019-10-25T20:00:00+00:00:D:8535 | 2019-10-26T01:00:00+00:00:G:10370,2019-10-23T16:00:00+00:00:D:7300 | 2019-10-23T18:00:00+00:00:G:7535.55 | 2019-10-23T22:00:00+00:00:D:7386.37 | 2019-10-24T00:00:00+00:00:G:7497.96 | 2019-10-24T06:00:00+00:00:D:7337.99 | 2019-10-24T09:00:00+00:00:G:7478 | 2019-10-24T11:00:00+00:00:D:7413 | 2019-10-24T14:00:00+00:00:G:7503.68 | 2019-10-24T15:00:00+00:00:D:7413.43 | 2019-10-24T19:00:00+00:00:G:7479 | 2019-10-24T21:00:00+00:00:D:7429.41 | 2019-10-24T23:00:00+00:00:G:7465.75 | 2019-10-25T00:00:00+00:00:D:7411.94 | 2019-10-25T02:00:00+00:00:G:7459.29 | 2019-10-25T05:00:00+00:00:D:7361 | 2019-10-25T08:00:00+00:00:G:7475 | 2019-10-25T10:00:00+00:00:D:7439 | 2019-10-25T17:00:00+00:00:G:8799 | 2019-10-25T20:00:00+00:00:D:8535 | 2019-10-26T01:00:00+00:00:G:10370,2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00 | 2019-10-23T18:00:00+00:00 | 2019-10-23T19:00:00+00:00 | 2019-10-23T20:00:00+00:00 | 2019-10-23T21:00:00+00:00 | 2019-10-23T22:00:00+00:00 | 2019-10-23T23:00:00+00:00 | 2019-10-24T00:00:00+00:00 | 2019-10-24T01:00:00+00:00 | 2019-10-24T03:00:00+00:00 | 2019-10-24T04:00:00+00:00 | 2019-10-24T06:00:00+00:00 | 2019-10-24T07:00:00+00:00 | 2019-10-24T08:00:00+00:00 | 2019-10-24T09:00:00+00:00 | 2019-10-24T10:00:00+00:00 | 2019-10-24T11:00:00+00:00 | 2019-10-24T12:00:00+00:00 | 2019-10-24T13:00:00+00:00 | 2019-10-24T14:00:00+00:00 | 2019-10-24T15:00:00+00:00 | 2019-10-24T18:00:00+00:00 | 2019-10-24T19:00:00+00:00 | 2019-10-24T21:00:00+00:00 | 2019-10-24T23:00:00+00:00 | 2019-10-25T00:00:00+00:00 | 2019-10-25T01:00:00+00:00 | 2019-10-25T02:00:00+00:00 | 2019-10-25T05:00:00+00:00 | 2019-10-25T06:00:00+00:00 | 2019-10-25T07:00:00+00:00 | 2019-10-25T08:00:00+00:00 | 2019-10-25T10:00:00+00:00 | 2019-10-25T11:00:00+00:00 | 2019-10-25T12:00:00+00:00 | 2019-10-25T13:00:00+00:00 | 2019-10-25T14:00:00+00:00 | 2019-10-25T15:00:00+00:00 | 2019-10-25T16:00:00+00:00 | 2019-10-25T17:00:00+00:00 | 2019-10-25T20:00:00+00:00 | 2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00,2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00 | 2019-10-23T18:00:00+00:00 | 2019-10-23T19:00:00+00:00 | 2019-10-23T20:00:00+00:00 | 2019-10-23T21:00:00+00:00 | 2019-10-23T22:00:00+00:00 | 2019-10-23T23:00:00+00:00 | 2019-10-24T00:00:00+00:00 | 2019-10-24T01:00:00+00:00 | 2019-10-24T03:00:00+00:00 | 2019-10-24T04:00:00+00:00 | 2019-10-24T06:00:00+00:00 | 2019-10-24T07:00:00+00:00 | 2019-10-24T08:00:00+00:00 | 2019-10-24T09:00:00+00:00 | 2019-10-24T10:00:00+00:00 | 2019-10-24T11:00:00+00:00 | 2019-10-24T12:00:00+00:00 | 2019-10-24T13:00:00+00:00 | 2019-10-24T14:00:00+00:00 | 2019-10-24T15:00:00+00:00 | 2019-10-24T18:00:00+00:00 | 2019-10-24T19:00:00+00:00 | 2019-10-24T21:00:00+00:00 | 2019-10-24T23:00:00+00:00 | 2019-10-25T00:00:00+00:00 | 2019-10-25T01:00:00+00:00 | 2019-10-25T02:00:00+00:00 | 2019-10-25T05:00:00+00:00 | 2019-10-25T06:00:00+00:00 | 2019-10-25T07:00:00+00:00 | 2019-10-25T08:00:00+00:00 | 2019-10-25T10:00:00+00:00 | 2019-10-25T11:00:00+00:00 | 2019-10-25T12:00:00+00:00 | 2019-10-25T13:00:00+00:00 | 2019-10-25T14:00:00+00:00 | 2019-10-25T15:00:00+00:00 | 2019-10-25T16:00:00+00:00 | 2019-10-25T17:00:00+00:00 | 2019-10-25T20:00:00+00:00 | 2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00
15,True,向下,向下,2019-10-26T01:00:00+00:00 G 10370,2019-10-26T01:00:00+00:00 G 10370,2019-10-26T18:00:00+00:00 D 8855.5,2019-10-26T18:00:00+00:00 D 8855.5,14,14,2019-10-26T01:00:00+00:00:G:10370 | 2019-10-26T03:00:00+00:00:D:9415 | 2019-10-26T05:00:00+00:00:G:9777 | 2019-10-26T09:00:00+00:00:D:8970 | 2019-10-26T12:00:00+00:00:G:9444.44 | 2019-10-26T14:00:00+00:00:D:9051 | 2019-10-26T15:00:00+00:00:G:9297.76 | 2019-10-26T18:00:00+00:00:D:8855.5,2019-10-26T01:00:00+00:00:G:10370 | 2019-10-26T03:00:00+00:00:D:9415 | 2019-10-26T05:00:00+00:00:G:9777 | 2019-10-26T09:00:00+00:00:D:8970 | 2019-10-26T12:00:00+00:00:G:9444.44 | 2019-10-26T14:00:00+00:00:D:9051 | 2019-10-26T15:00:00+00:00:G:9297.76 | 2019-10-26T18:00:00+00:00:D:8855.5,2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00 | 2019-10-26T05:00:00+00:00 | 2019-10-26T06:00:00+00:00 | 2019-10-26T07:00:00+00:00 | 2019-10-26T09:00:00+00:00 | 2019-10-26T12:00:00+00:00 | 2019-10-26T13:00:00+00:00 | 2019-10-26T14:00:00+00:00 | 2019-10-26T15:00:00+00:00 | 2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00,2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00 | 2019-10-26T05:00:00+00:00 | 2019-10-26T06:00:00+00:00 | 2019-10-26T07:00:00+00:00 | 2019-10-26T09:00:00+00:00 | 2019-10-26T12:00:00+00:00 | 2019-10-26T13:00:00+00:00 | 2019-10-26T14:00:00+00:00 | 2019-10-26T15:00:00+00:00 | 2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00
16,True,向上,向上,2019-10-26T18:00:00+00:00 D 8855.5,2019-10-26T18:00:00+00:00 D 8855.5,2019-10-27T00:00:00+00:00 G 9369.8,2019-10-27T00:00:00+00:00 G 9369.8,7,7,2019-10-26T18:00:00+00:00:D:8855.5 | 2019-10-27T00:00:00+00:00:G:9369.8,2019-10-26T18:00:00+00:00:D:8855.5 | 2019-10-27T00:00:00+00:00:G:9369.8,2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00 | 2019-10-26T21:00:00+00:00 | 2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00,2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00 | 2019-10-26T21:00:00+00:00 | 2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00
17,True,向下,向下,2019-10-27T00:00:00+00:00 G 9369.8,2019-10-27T00:00:00+00:00 G 9369.8,2019-10-27T04:00:00+00:00 D 9074.34,2019-10-27T04:00:00+00:00 D 9074.34,6,6,2019-10-27T00:00:00+00:00:G:9369.8 | 2019-10-27T01:00:00+00:00:D:9096 | 2019-10-27T03:00:00+00:00:G:9205.21 | 2019-10-27T04:00:00+00:00:D:9074.34,2019-10-27T00:00:00+00:00:G:9369.8 | 2019-10-27T01:00:00+00:00:D:9096 | 2019-10-27T03:00:00+00:00:G:9205.21 | 2019-10-27T04:00:00+00:00:D:9074.34,2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00 | 2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00,2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00 | 2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00
18,False,向上,向上,2019-10-27T04:00:00+00:00 D 9074.34,2019-10-27T04:00:00+00:00 D 9074.34,2019-10-28T01:00:00+00:00 G 9902.1,2019-10-27T19:00:00+00:00 G 9794.98,18,13,2019-10-27T04:00:00+00:00:D:9074.34 | 2019-10-27T11:00:00+00:00:G:9642.99 | 2019-10-27T12:00:00+00:00:D:9211.19 | 2019-10-27T19:00:00+00:00:G:9794.98 | 2019-10-27T23:00:00+00:00:D:9420 | 2019-10-28T01:00:00+00:00:G:9902.1,2019-10-27T04:00:00+00:00:D:9074.34 | 2019-10-27T11:00:00+00:00:G:9642.99 | 2019-10-27T12:00:00+00:00:D:9211.19 | 2019-10-27T19:00:00+00:00:G:9794.98,2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00 | 2019-10-27T07:00:00+00:00 | 2019-10-27T08:00:00+00:00 | 2019-10-27T09:00:00+00:00 | 2019-10-27T11:00:00+00:00 | 2019-10-27T12:00:00+00:00 | 2019-10-27T13:00:00+00:00 | 2019-10-27T14:00:00+00:00 | 2019-10-27T16:00:00+00:00 | 2019-10-27T19:00:00+00:00 | 2019-10-27T20:00:00+00:00 | 2019-10-27T21:00:00+00:00 | 2019-10-27T23:00:00+00:00 | 2019-10-28T00:00:00+00:00 | 2019-10-28T01:00:00+00:00 | 2019-10-28T03:00:00+00:00,2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00 | 2019-10-27T07:00:00+00:00 | 2019-10-27T08:00:00+00:00 | 2019-10-27T09:00:00+00:00 | 2019-10-27T11:00:00+00:00 | 2019-10-27T12:00:00+00:00 | 2019-10-27T13:00:00+00:00 | 2019-10-27T14:00:00+00:00 | 2019-10-27T16:00:00+00:00 | 2019-10-27T19:00:00+00:00 | 2019-10-27T20:00:00+00:00
19,False,向下,向下,2019-10-28T01:00:00+00:00 G 9902.1,2019-10-27T19:00:00+00:00 G 9794.98,2019-10-28T23:00:00+00:00 D 9160,2019-10-28T12:00:00+00:00 D 9254,18,16,2019-10-28T01:00:00+00:00:G:9902.1 | 2019-10-28T04:00:00+00:00:D:9525 | 2019-10-28T05:00:00+00:00:G:9679.26 | 2019-10-28T08:00:00+00:00:D:9265 | 2019-10-28T10:00:00+00:00:G:9468.75 | 2019-10-28T12:00:00+00:00:D:9254 | 2019-10-28T13:00:00+00:00:G:9415 | 2019-10-28T14:00:00+00:00:D:9292.71 | 2019-10-28T16:00:00+00:00:G:9400 | 2019-10-28T17:00:00+00:00:D:9320.23 | 2019-10-28T18:00:00+00:00:G:9478.93 | 2019-10-28T23:00:00+00:00:D:9160,2019-10-27T19:00:00+00:00:G:9794.98 | 2019-10-27T23:00:00+00:00:D:9420 | 2019-10-28T01:00:00+00:00:G:9902.1 | 2019-10-28T04:00:00+00:00:D:9525 | 2019-10-28T05:00:00+00:00:G:9679.26 | 2019-10-28T08:00:00+00:00:D:9265 | 2019-10-28T10:00:00+00:00:G:9468.75 | 2019-10-28T12:00:00+00:00:D:9254,2019-10-28T00:00:00+00:00 | 2019-10-28T01:00:00+00:00 | 2019-10-28T03:00:00+00:00 | 2019-10-28T04:00:00+00:00 | 2019-10-28T05:00:00+00:00 | 2019-10-28T06:00:00+00:00 | 2019-10-28T08:00:00+00:00 | 2019-10-28T10:00:00+00:00 | 2019-10-28T11:00:00+00:00 | 2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00 | 2019-10-28T14:00:00+00:00 | 2019-10-28T15:00:00+00:00 | 2019-10-28T16:00:00+00:00 | 2019-10-28T17:00:00+00:00 | 2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00 | 2019-10-29T01:00:00+00:00,2019-10-27T16:00:00+00:00 | 2019-10-27T19:00:00+00:00 | 2019-10-27T20:00:00+00:00 | 2019-10-27T21:00:00+00:00 | 2019-10-27T23:00:00+00:00 | 2019-10-28T00:00:00+00:00 | 2019-10-28T01:00:00+00:00 | 2019-10-28T03:00:00+00:00 | 2019-10-28T04:00:00+00:00 | 2019-10-28T05:00:00+00:00 | 2019-10-28T06:00:00+00:00 | 2019-10-28T08:00:00+00:00 | 2019-10-28T10:00:00+00:00 | 2019-10-28T11:00:00+00:00 | 2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00
20,False,向上,向上,2019-10-28T23:00:00+00:00 D 9160,2019-10-28T12:00:00+00:00 D 9254,2019-10-29T05:00:00+00:00 G 9550,2019-10-29T05:00:00+00:00 G 9550,6,13,2019-10-28T23:00:00+00:00:D:9160 | 2019-10-29T05:00:00+00:00:G:9550,2019-10-28T12:00:00+00:00:D:9254 | 2019-10-28T13:00:00+00:00:G:9415 | 2019-10-28T14:00:00+00:00:D:9292.71 | 2019-10-28T16:00:00+00:00:G:9400 | 2019-10-28T17:00:00+00:00:D:9320.23 | 2019-10-28T18:00:00+00:00:G:9478.93 | 2019-10-28T23:00:00+00:00:D:9160 | 2019-10-29T05:00:00+00:00:G:9550,2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00 | 2019-10-29T01:00:00+00:00 | 2019-10-29T04:00:00+00:00 | 2019-10-29T05:00:00+00:00 | 2019-10-29T08:00:00+00:00,2019-10-28T11:00:00+00:00 | 2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00 | 2019-10-28T14:00:00+00:00 | 2019-10-28T15:00:00+00:00 | 2019-10-28T16:00:00+00:00 | 2019-10-28T17:00:00+00:00 | 2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00 | 2019-10-29T01:00:00+00:00 | 2019-10-29T04:00:00+00:00 | 2019-10-29T05:00:00+00:00 | 2019-10-29T08:00:00+00:00
