序号,一致,本项目时间,CZSC时间,本项目OHLC,CZSC OHLC,本项目原始K数,CZSC原始K数,本项目原始范围,CZSC原始范围
15,True,2019-10-15 02:00:00+00:00,2019-10-15 02:00:00+00:00,8328.27/8336.48/8311.77/8332.68,8328.27/8336.48/8311.77/8332.68,1,1,2019-10-15T02:00:00+00:00 ~ 2019-10-15T02:00:00+00:00,2019-10-15T02:00:00+00:00 ~ 2019-10-15T02:00:00+00:00
16,True,2019-10-15 03:00:00+00:00,2019-10-15 03:00:00+00:00,8332.97/8333.67/8311.11/8315.19,8332.97/8333.67/8311.11/8315.19,1,1,2019-10-15T03:00:00+00:00 ~ 2019-10-15T03:00:00+00:00,2019-10-15T03:00:00+00:00 ~ 2019-10-15T03:00:00+00:00
17,True,2019-10-15 04:00:00+00:00,2019-10-15 04:00:00+00:00,8316.26/8332.47/8302.25/8326.78,8316.26/8332.47/8302.25/8326.78,1,1,2019-10-15T04:00:00+00:00 ~ 2019-10-15T04:00:00+00:00,2019-10-15T04:00:00+00:00 ~ 2019-10-15T04:00:00+00:00
18,True,2019-10-15 06:00:00+00:00,2019-10-15 06:00:00+00:00,8340.84/8340.84/8313.48/8313.48,8340.84/8340.84/8313.48/8313.48,2,2,2019-10-15T05:00:00+00:00 ~ 2019-10-15T06:00:00+00:00,2019-10-15T05:00:00+00:00 ~ 2019-10-15T06:00:00+00:00
19,True,2019-10-15 07:00:00+00:00,2019-10-15 07:00:00+00:00,8302.36/8315.1/8266.61/8281.04,8302.36/8315.1/8266.61/8281.04,1,1,2019-10-15T07:00:00+00:00 ~ 2019-10-15T07:00:00+00:00,2019-10-15T07:00:00+00:00 ~ 2019-10-15T07:00:00+00:00
20,True,2019-10-15 08:00:00+00:00,2019-10-15 08:00:00+00:00,8290.12/8290.12/8258.4/8258.4,8290.12/8290.12/8258.4/8258.4,2,2,2019-10-15T08:00:00+00:00 ~ 2019-10-15T09:00:00+00:00,2019-10-15T08:00:00+00:00 ~ 2019-10-15T09:00:00+00:00
21,True,2019-10-15 10:00:00+00:00,2019-10-15 10:00:00+00:00,8321.64/8321.64/8280/8280,8321.64/8321.64/8280/8280,2,2,2019-10-15T10:00:00+00:00 ~ 2019-10-15T11:00:00+00:00,2019-10-15T10:00:00+00:00 ~ 2019-10-15T11:00:00+00:00
22,True,2019-10-15 12:00:00+00:00,2019-10-15 12:00:00+00:00,8323.23/8323.23/8286.91/8286.91,8323.23/8323.23/8286.91/8286.91,2,2,2019-10-15T12:00:00+00:00 ~ 2019-10-15T13:00:00+00:00,2019-10-15T12:00:00+00:00 ~ 2019-10-15T13:00:00+00:00
23,True,2019-10-15 16:00:00+00:00,2019-10-15 16:00:00+00:00,8159/8159/8090/8090,8159/8159/8090/8090,9,9,2019-10-15T14:00:00+00:00 ~ 2019-10-15T22:00:00+00:00,2019-10-15T14:00:00+00:00 ~ 2019-10-15T22:00:00+00:00
24,True,2019-10-15 23:00:00+00:00,2019-10-15 23:00:00+00:00,8158.01/8182.77/8158.01/8182.77,8158.01/8182.77/8158.01/8182.77,3,3,2019-10-15T23:00:00+00:00 ~ 2019-10-16T01:00:00+00:00,2019-10-15T23:00:00+00:00 ~ 2019-10-16T01:00:00+00:00
25,True,2019-10-16 02:00:00+00:00,2019-10-16 02:00:00+00:00,8170.56/8180.26/8155.27/8159.13,8170.56/8180.26/8155.27/8159.13,1,1,2019-10-16T02:00:00+00:00 ~ 2019-10-16T02:00:00+00:00,2019-10-16T02:00:00+00:00 ~ 2019-10-16T02:00:00+00:00
26,True,2019-10-16 03:00:00+00:00,2019-10-16 03:00:00+00:00,8158.75/8168.74/8145.5/8167.51,8158.75/8168.74/8145.5/8167.51,1,1,2019-10-16T03:00:00+00:00 ~ 2019-10-16T03:00:00+00:00,2019-10-16T03:00:00+00:00 ~ 2019-10-16T03:00:00+00:00
27,True,2019-10-16 06:00:00+00:00,2019-10-16 06:00:00+00:00,8177.27/8177.27/8158.24/8158.24,8177.27/8177.27/8158.24/8158.24,3,3,2019-10-16T04:00:00+00:00 ~ 2019-10-16T06:00:00+00:00,2019-10-16T04:00:00+00:00 ~ 2019-10-16T06:00:00+00:00
28,True,2019-10-16 07:00:00+00:00,2019-10-16 07:00:00+00:00,8151.02/8166.27/8120/8134.93,8151.02/8166.27/8120/8134.93,1,1,2019-10-16T07:00:00+00:00 ~ 2019-10-16T07:00:00+00:00,2019-10-16T07:00:00+00:00 ~ 2019-10-16T07:00:00+00:00
29,True,2019-10-16 09:00:00+00:00,2019-10-16 09:00:00+00:00,8100/8145.13/8100/8145.13,8100/8145.13/8100/8145.13,2,2,2019-10-16T08:00:00+00:00 ~ 2019-10-16T09:00:00+00:00,2019-10-16T08:00:00+00:00 ~ 2019-10-16T09:00:00+00:00
30,True,2019-10-16 10:00:00+00:00,2019-10-16 10:00:00+00:00,8149.8/8162/8131/8143.52,8149.8/8162/8131/8143.52,1,1,2019-10-16T10:00:00+00:00 ~ 2019-10-16T10:00:00+00:00,2019-10-16T10:00:00+00:00 ~ 2019-10-16T10:00:00+00:00
31,True,2019-10-16 11:00:00+00:00,2019-10-16 11:00:00+00:00,8143.89/8150/8010/8056,8143.89/8150/8010/8056,1,1,2019-10-16T11:00:00+00:00 ~ 2019-10-16T11:00:00+00:00,2019-10-16T11:00:00+00:00 ~ 2019-10-16T11:00:00+00:00
32,True,2019-10-16 16:00:00+00:00,2019-10-16 16:00:00+00:00,7969.48/7969.48/7917/7917,7969.48/7969.48/7917/7917,8,8,2019-10-16T12:00:00+00:00 ~ 2019-10-16T19:00:00+00:00,2019-10-16T12:00:00+00:00 ~ 2019-10-16T19:00:00+00:00
33,True,2019-10-16 20:00:00+00:00,2019-10-16 20:00:00+00:00,7958.16/7989.97/7957.55/7987.06,7958.16/7989.97/7957.55/7987.06,1,1,2019-10-16T20:00:00+00:00 ~ 2019-10-16T20:00:00+00:00,2019-10-16T20:00:00+00:00 ~ 2019-10-16T20:00:00+00:00
34,True,2019-10-16 21:00:00+00:00,2019-10-16 21:00:00+00:00,7987.83/7990/7974.28/7978.27,7987.83/7990/7974.28/7978.27,1,1,2019-10-16T21:00:00+00:00 ~ 2019-10-16T21:00:00+00:00,2019-10-16T21:00:00+00:00 ~ 2019-10-16T21:00:00+00:00
35,True,2019-10-16 22:00:00+00:00,2019-10-16 22:00:00+00:00,7978.38/8011/7978/8002.8,7978.38/8011/7978/8002.8,1,1,2019-10-16T22:00:00+00:00 ~ 2019-10-16T22:00:00+00:00,2019-10-16T22:00:00+00:00 ~ 2019-10-16T22:00:00+00:00
36,True,2019-10-16 23:00:00+00:00,2019-10-16 23:00:00+00:00,8004.61/8023/7991.36/7991.74,8004.61/8023/7991.36/7991.74,1,1,2019-10-16T23:00:00+00:00 ~ 2019-10-16T23:00:00+00:00,2019-10-16T23:00:00+00:00 ~ 2019-10-16T23:00:00+00:00
37,True,2019-10-17 00:00:00+00:00,2019-10-17 00:00:00+00:00,7974.88/7974.88/7952.63/7952.63,7974.88/7974.88/7952.63/7952.63,2,2,2019-10-17T00:00:00+00:00 ~ 2019-10-17T01:00:00+00:00,2019-10-17T00:00:00+00:00 ~ 2019-10-17T01:00:00+00:00
38,True,2019-10-17 02:00:00+00:00,2019-10-17 02:00:00+00:00,7989.86/7989.86/7965/7965,7989.86/7989.86/7965/7965,2,2,2019-10-17T02:00:00+00:00 ~ 2019-10-17T03:00:00+00:00,2019-10-17T02:00:00+00:00 ~ 2019-10-17T03:00:00+00:00
39,True,2019-10-17 04:00:00+00:00,2019-10-17 04:00:00+00:00,7968.71/7974.18/7929.03/7933.37,7968.71/7974.18/7929.03/7933.37,1,1,2019-10-17T04:00:00+00:00 ~ 2019-10-17T04:00:00+00:00,2019-10-17T04:00:00+00:00 ~ 2019-10-17T04:00:00+00:00
40,True,2019-10-17 05:00:00+00:00,2019-10-17 05:00:00+00:00,7933.34/7986/7930/7976.85,7933.34/7986/7930/7976.85,1,1,2019-10-17T05:00:00+00:00 ~ 2019-10-17T05:00:00+00:00,2019-10-17T05:00:00+00:00 ~ 2019-10-17T05:00:00+00:00
41,True,2019-10-17 06:00:00+00:00,2019-10-17 06:00:00+00:00,7960.72/7990/7960.72/7990,7960.72/7990/7960.72/7990,2,2,2019-10-17T06:00:00+00:00 ~ 2019-10-17T07:00:00+00:00,2019-10-17T06:00:00+00:00 ~ 2019-10-17T07:00:00+00:00
42,True,2019-10-17 08:00:00+00:00,2019-10-17 08:00:00+00:00,8016.44/8077.77/8016.44/8077.77,8016.44/8077.77/8016.44/8077.77,2,2,2019-10-17T08:00:00+00:00 ~ 2019-10-17T09:00:00+00:00,2019-10-17T08:00:00+00:00 ~ 2019-10-17T09:00:00+00:00
43,True,2019-10-17 10:00:00+00:00,2019-10-17 10:00:00+00:00,8064.85/8099.98/8062.54/8079.5,8064.85/8099.98/8062.54/8079.5,1,1,2019-10-17T10:00:00+00:00 ~ 2019-10-17T10:00:00+00:00,2019-10-17T10:00:00+00:00 ~ 2019-10-17T10:00:00+00:00
44,True,2019-10-17 11:00:00+00:00,2019-10-17 11:00:00+00:00,8080.39/8118.86/8063.59/8067.2,8080.39/8118.86/8063.59/8067.2,1,1,2019-10-17T11:00:00+00:00 ~ 2019-10-17T11:00:00+00:00,2019-10-17T11:00:00+00:00 ~ 2019-10-17T11:00:00+00:00
45,True,2019-10-17 12:00:00+00:00,2019-10-17 12:00:00+00:00,8066.66/8074.93/8016.01/8046.48,8066.66/8074.93/8016.01/8046.48,1,1,2019-10-17T12:00:00+00:00 ~ 2019-10-17T12:00:00+00:00,2019-10-17T12:00:00+00:00 ~ 2019-10-17T12:00:00+00:00
46,True,2019-10-17 13:00:00+00:00,2019-10-17 13:00:00+00:00,8046.55/8078.93/8041.85/8064.2,8046.55/8078.93/8041.85/8064.2,1,1,2019-10-17T13:00:00+00:00 ~ 2019-10-17T13:00:00+00:00,2019-10-17T13:00:00+00:00 ~ 2019-10-17T13:00:00+00:00
47,True,2019-10-17 14:00:00+00:00,2019-10-17 14:00:00+00:00,8064.94/8070/8030.49/8052.04,8064.94/8070/8030.49/8052.04,1,1,2019-10-17T14:00:00+00:00 ~ 2019-10-17T14:00:00+00:00,2019-10-17T14:00:00+00:00 ~ 2019-10-17T14:00:00+00:00
48,True,2019-10-17 15:00:00+00:00,2019-10-17 15:00:00+00:00,8052.05/8091.6/8045.19/8069.39,8052.05/8091.6/8045.19/8069.39,1,1,2019-10-17T15:00:00+00:00 ~ 2019-10-17T15:00:00+00:00,2019-10-17T15:00:00+00:00 ~ 2019-10-17T15:00:00+00:00
49,True,2019-10-17 16:00:00+00:00,2019-10-17 16:00:00+00:00,8124.92/8124.92/8070/8070,8124.92/8124.92/8070/8070,3,3,2019-10-17T16:00:00+00:00 ~ 2019-10-17T18:00:00+00:00,2019-10-17T16:00:00+00:00 ~ 2019-10-17T18:00:00+00:00
50,True,2019-10-17 19:00:00+00:00,2019-10-17 19:00:00+00:00,8073.11/8074.32/8042.03/8059.92,8073.11/8074.32/8042.03/8059.92,1,1,2019-10-17T19:00:00+00:00 ~ 2019-10-17T19:00:00+00:00,2019-10-17T19:00:00+00:00 ~ 2019-10-17T19:00:00+00:00
51,True,2019-10-17 20:00:00+00:00,2019-10-17 20:00:00+00:00,8059.32/8066.9/8032.54/8038.02,8059.32/8066.9/8032.54/8038.02,1,1,2019-10-17T20:00:00+00:00 ~ 2019-10-17T20:00:00+00:00,2019-10-17T20:00:00+00:00 ~ 2019-10-17T20:00:00+00:00
52,True,2019-10-17 21:00:00+00:00,2019-10-17 21:00:00+00:00,8038.8/8068.56/8034.81/8061.84,8038.8/8068.56/8034.81/8061.84,1,1,2019-10-17T21:00:00+00:00 ~ 2019-10-17T21:00:00+00:00,2019-10-17T21:00:00+00:00 ~ 2019-10-17T21:00:00+00:00
53,True,2019-10-17 22:00:00+00:00,2019-10-17 22:00:00+00:00,8061.11/8071.13/8040.47/8053.78,8061.11/8071.13/8040.47/8053.78,1,1,2019-10-17T22:00:00+00:00 ~ 2019-10-17T22:00:00+00:00,2019-10-17T22:00:00+00:00 ~ 2019-10-17T22:00:00+00:00
54,True,2019-10-17 23:00:00+00:00,2019-10-17 23:00:00+00:00,8053.94/8076.73/8044.14/8070.58,8053.94/8076.73/8044.14/8070.58,1,1,2019-10-17T23:00:00+00:00 ~ 2019-10-17T23:00:00+00:00,2019-10-17T23:00:00+00:00 ~ 2019-10-17T23:00:00+00:00
55,True,2019-10-18 00:00:00+00:00,2019-10-18 00:00:00+00:00,8070.71/8093.51/8050/8080.86,8070.71/8093.51/8050/8080.86,1,1,2019-10-18T00:00:00+00:00 ~ 2019-10-18T00:00:00+00:00,2019-10-18T00:00:00+00:00 ~ 2019-10-18T00:00:00+00:00
56,True,2019-10-18 01:00:00+00:00,2019-10-18 01:00:00+00:00,8080.63/8109.61/8068.7/8109.6,8080.63/8109.61/8068.7/8109.6,1,1,2019-10-18T01:00:00+00:00 ~ 2019-10-18T01:00:00+00:00,2019-10-18T01:00:00+00:00 ~ 2019-10-18T01:00:00+00:00
57,True,2019-10-18 02:00:00+00:00,2019-10-18 02:00:00+00:00,8109.6/8115/8069.13/8081.33,8109.6/8115/8069.13/8081.33,1,1,2019-10-18T02:00:00+00:00 ~ 2019-10-18T02:00:00+00:00,2019-10-18T02:00:00+00:00 ~ 2019-10-18T02:00:00+00:00
58,True,2019-10-18 03:00:00+00:00,2019-10-18 03:00:00+00:00,8081.34/8085/8055.05/8064.81,8081.34/8085/8055.05/8064.81,1,1,2019-10-18T03:00:00+00:00 ~ 2019-10-18T03:00:00+00:00,2019-10-18T03:00:00+00:00 ~ 2019-10-18T03:00:00+00:00
59,True,2019-10-18 04:00:00+00:00,2019-10-18 04:00:00+00:00,8065.65/8072.54/8050/8064.24,8065.65/8072.54/8050/8064.24,1,1,2019-10-18T04:00:00+00:00 ~ 2019-10-18T04:00:00+00:00,2019-10-18T04:00:00+00:00 ~ 2019-10-18T04:00:00+00:00
60,True,2019-10-18 05:00:00+00:00,2019-10-18 05:00:00+00:00,7917.43/7917.43/7856.89/7856.89,7917.43/7917.43/7856.89/7856.89,3,3,2019-10-18T05:00:00+00:00 ~ 2019-10-18T07:00:00+00:00,2019-10-18T05:00:00+00:00 ~ 2019-10-18T07:00:00+00:00
61,True,2019-10-18 08:00:00+00:00,2019-10-18 08:00:00+00:00,7911.59/7911.63/7816.01/7878,7911.59/7911.63/7816.01/7878,1,1,2019-10-18T08:00:00+00:00 ~ 2019-10-18T08:00:00+00:00,2019-10-18T08:00:00+00:00 ~ 2019-10-18T08:00:00+00:00
62,True,2019-10-18 09:00:00+00:00,2019-10-18 09:00:00+00:00,7923.87/7923.87/7880/7880,7923.87/7923.87/7880/7880,2,2,2019-10-18T09:00:00+00:00 ~ 2019-10-18T10:00:00+00:00,2019-10-18T09:00:00+00:00 ~ 2019-10-18T10:00:00+00:00
63,True,2019-10-18 11:00:00+00:00,2019-10-18 11:00:00+00:00,7900.4/7942/7900/7920.42,7900.4/7942/7900/7920.42,1,1,2019-10-18T11:00:00+00:00 ~ 2019-10-18T11:00:00+00:00,2019-10-18T11:00:00+00:00 ~ 2019-10-18T11:00:00+00:00
64,True,2019-10-18 12:00:00+00:00,2019-10-18 12:00:00+00:00,7920.6/7975/7919.19/7920,7920.6/7975/7919.19/7920,1,1,2019-10-18T12:00:00+00:00 ~ 2019-10-18T12:00:00+00:00,2019-10-18T12:00:00+00:00 ~ 2019-10-18T12:00:00+00:00
65,True,2019-10-18 13:00:00+00:00,2019-10-18 13:00:00+00:00,7920.69/7951.2/7915/7932.81,7920.69/7951.2/7915/7932.81,1,1,2019-10-18T13:00:00+00:00 ~ 2019-10-18T13:00:00+00:00,2019-10-18T13:00:00+00:00 ~ 2019-10-18T13:00:00+00:00
66,True,2019-10-18 14:00:00+00:00,2019-10-18 14:00:00+00:00,7930.93/7933.31/7884.01/7906.51,7930.93/7933.31/7884.01/7906.51,1,1,2019-10-18T14:00:00+00:00 ~ 2019-10-18T14:00:00+00:00,2019-10-18T14:00:00+00:00 ~ 2019-10-18T14:00:00+00:00
67,True,2019-10-18 15:00:00+00:00,2019-10-18 15:00:00+00:00,7906.5/7937/7906.5/7920.01,7906.5/7937/7906.5/7920.01,1,1,2019-10-18T15:00:00+00:00 ~ 2019-10-18T15:00:00+00:00,2019-10-18T15:00:00+00:00 ~ 2019-10-18T15:00:00+00:00
68,True,2019-10-18 16:00:00+00:00,2019-10-18 16:00:00+00:00,7920/7952.25/7915.47/7924.43,7920/7952.25/7915.47/7924.43,1,1,2019-10-18T16:00:00+00:00 ~ 2019-10-18T16:00:00+00:00,2019-10-18T16:00:00+00:00 ~ 2019-10-18T16:00:00+00:00
69,True,2019-10-18 17:00:00+00:00,2019-10-18 17:00:00+00:00,7924.61/7943/7905/7938.47,7924.61/7943/7905/7938.47,1,1,2019-10-18T17:00:00+00:00 ~ 2019-10-18T17:00:00+00:00,2019-10-18T17:00:00+00:00 ~ 2019-10-18T17:00:00+00:00
70,True,2019-10-18 18:00:00+00:00,2019-10-18 18:00:00+00:00,7938.42/7983.32/7926.42/7931.56,7938.42/7983.32/7926.42/7931.56,1,1,2019-10-18T18:00:00+00:00 ~ 2019-10-18T18:00:00+00:00,2019-10-18T18:00:00+00:00 ~ 2019-10-18T18:00:00+00:00
71,True,2019-10-18 19:00:00+00:00,2019-10-18 19:00:00+00:00,7931.58/7955/7924.99/7941.55,7931.58/7955/7924.99/7941.55,1,1,2019-10-18T19:00:00+00:00 ~ 2019-10-18T19:00:00+00:00,2019-10-18T19:00:00+00:00 ~ 2019-10-18T19:00:00+00:00
72,True,2019-10-18 20:00:00+00:00,2019-10-18 20:00:00+00:00,7941.5/7941.5/7915.02/7915.02,7941.5/7941.5/7915.02/7915.02,2,2,2019-10-18T20:00:00+00:00 ~ 2019-10-18T21:00:00+00:00,2019-10-18T20:00:00+00:00 ~ 2019-10-18T21:00:00+00:00
73,True,2019-10-18 22:00:00+00:00,2019-10-18 22:00:00+00:00,7978/7978/7940.01/7940.01,7978/7978/7940.01/7940.01,2,2,2019-10-18T22:00:00+00:00 ~ 2019-10-18T23:00:00+00:00,2019-10-18T22:00:00+00:00 ~ 2019-10-18T23:00:00+00:00
74,True,2019-10-19 01:00:00+00:00,2019-10-19 01:00:00+00:00,7942.83/7942.83/7910/7910,7942.83/7942.83/7910/7910,2,2,2019-10-19T00:00:00+00:00 ~ 2019-10-19T01:00:00+00:00,2019-10-19T00:00:00+00:00 ~ 2019-10-19T01:00:00+00:00
75,True,2019-10-19 02:00:00+00:00,2019-10-19 02:00:00+00:00,7917.15/7929.87/7892/7917.28,7917.15/7929.87/7892/7917.28,1,1,2019-10-19T02:00:00+00:00 ~ 2019-10-19T02:00:00+00:00,2019-10-19T02:00:00+00:00 ~ 2019-10-19T02:00:00+00:00
76,True,2019-10-19 03:00:00+00:00,2019-10-19 03:00:00+00:00,7931.41/7957.99/7931.41/7957.99,7931.41/7957.99/7931.41/7957.99,2,2,2019-10-19T03:00:00+00:00 ~ 2019-10-19T04:00:00+00:00,2019-10-19T03:00:00+00:00 ~ 2019-10-19T04:00:00+00:00
77,True,2019-10-19 05:00:00+00:00,2019-10-19 05:00:00+00:00,7953.21/7956.94/7915.57/7934.47,7953.21/7956.94/7915.57/7934.47,1,1,2019-10-19T05:00:00+00:00 ~ 2019-10-19T05:00:00+00:00,2019-10-19T05:00:00+00:00 ~ 2019-10-19T05:00:00+00:00
78,True,2019-10-19 06:00:00+00:00,2019-10-19 06:00:00+00:00,7943.15/7943.15/7913.16/7913.16,7943.15/7943.15/7913.16/7913.16,2,2,2019-10-19T06:00:00+00:00 ~ 2019-10-19T07:00:00+00:00,2019-10-19T06:00:00+00:00 ~ 2019-10-19T07:00:00+00:00
79,True,2019-10-19 08:00:00+00:00,2019-10-19 08:00:00+00:00,7998.9/7998.9/7939/7939,7998.9/7998.9/7939/7939,2,2,2019-10-19T08:00:00+00:00 ~ 2019-10-19T09:00:00+00:00,2019-10-19T08:00:00+00:00 ~ 2019-10-19T09:00:00+00:00
80,True,2019-10-19 10:00:00+00:00,2019-10-19 10:00:00+00:00,7942.01/7947.95/7920/7938.34,7942.01/7947.95/7920/7938.34,1,1,2019-10-19T10:00:00+00:00 ~ 2019-10-19T10:00:00+00:00,2019-10-19T10:00:00+00:00 ~ 2019-10-19T10:00:00+00:00
81,True,2019-10-19 12:00:00+00:00,2019-10-19 12:00:00+00:00,8098.1/8098.1/8003.11/8003.11,8098.1/8098.1/8003.11/8003.11,3,3,2019-10-19T11:00:00+00:00 ~ 2019-10-19T13:00:00+00:00,2019-10-19T11:00:00+00:00 ~ 2019-10-19T13:00:00+00:00
82,True,2019-10-19 14:00:00+00:00,2019-10-19 14:00:00+00:00,8012.87/8027.77/7993.64/8010.16,8012.87/8027.77/7993.64/8010.16,1,1,2019-10-19T14:00:00+00:00 ~ 2019-10-19T14:00:00+00:00,2019-10-19T14:00:00+00:00 ~ 2019-10-19T14:00:00+00:00
83,True,2019-10-19 15:00:00+00:00,2019-10-19 15:00:00+00:00,8010.16/8021/7975.66/7990.92,8010.16/8021/7975.66/7990.92,1,1,2019-10-19T15:00:00+00:00 ~ 2019-10-19T15:00:00+00:00,2019-10-19T15:00:00+00:00 ~ 2019-10-19T15:00:00+00:00
84,True,2019-10-19 16:00:00+00:00,2019-10-19 16:00:00+00:00,7993.26/7999.2/7937.69/7974.5,7993.26/7999.2/7937.69/7974.5,1,1,2019-10-19T16:00:00+00:00 ~ 2019-10-19T16:00:00+00:00,2019-10-19T16:00:00+00:00 ~ 2019-10-19T16:00:00+00:00
85,True,2019-10-19 17:00:00+00:00,2019-10-19 17:00:00+00:00,7999.38/7999.38/7972.33/7972.33,7999.38/7999.38/7972.33/7972.33,2,2,2019-10-19T17:00:00+00:00 ~ 2019-10-19T18:00:00+00:00,2019-10-19T17:00:00+00:00 ~ 2019-10-19T18:00:00+00:00
86,True,2019-10-19 19:00:00+00:00,2019-10-19 19:00:00+00:00,7975.77/7983.33/7958.13/7971.81,7975.77/7983.33/7958.13/7971.81,1,1,2019-10-19T19:00:00+00:00 ~ 2019-10-19T19:00:00+00:00,2019-10-19T19:00:00+00:00 ~ 2019-10-19T19:00:00+00:00
87,True,2019-10-19 20:00:00+00:00,2019-10-19 20:00:00+00:00,7972.19/7978.52/7902.2/7940.81,7972.19/7978.52/7902.2/7940.81,1,1,2019-10-19T20:00:00+00:00 ~ 2019-10-19T20:00:00+00:00,2019-10-19T20:00:00+00:00 ~ 2019-10-19T20:00:00+00:00
88,True,2019-10-19 21:00:00+00:00,2019-10-19 21:00:00+00:00,7949.09/7949.09/7891.76/7891.76,7949.09/7949.09/7891.76/7891.76,2,2,2019-10-19T21:00:00+00:00 ~ 2019-10-19T22:00:00+00:00,2019-10-19T21:00:00+00:00 ~ 2019-10-19T22:00:00+00:00
