笔序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,无包含K数,内部分型数,价差力度,涨跌幅,原始K起点,原始K终点,内部无包含K时间,内部分型
10,↑ 向上,2019-10-20 02:00:00+00:00,底分型,7870.0,2019-10-21 15:00:00+00:00,顶分型,8333.0,29,14,463.0,0.0588,2019-10-20 01:00:00+00:00,2019-10-21 16:00:00+00:00,2019-10-20T01:00:00+00:00 | 2019-10-20T02:00:00+00:00 | 2019-10-20T06:00:00+00:00 | 2019-10-20T07:00:00+00:00 | 2019-10-20T08:00:00+00:00 | 2019-10-20T09:00:00+00:00 | 2019-10-20T12:00:00+00:00 | 2019-10-20T14:00:00+00:00 | 2019-10-20T15:00:00+00:00 | 2019-10-20T16:00:00+00:00 | 2019-10-20T17:00:00+00:00 | 2019-10-20T18:00:00+00:00 | 2019-10-20T19:00:00+00:00 | 2019-10-20T20:00:00+00:00 | 2019-10-20T21:00:00+00:00 | 2019-10-20T23:00:00+00:00 | 2019-10-21T00:00:00+00:00 | 2019-10-21T01:00:00+00:00 | 2019-10-21T02:00:00+00:00 | 2019-10-21T04:00:00+00:00 | 2019-10-21T05:00:00+00:00 | 2019-10-21T06:00:00+00:00 | 2019-10-21T07:00:00+00:00 | 2019-10-21T08:00:00+00:00 | 2019-10-21T09:00:00+00:00 | 2019-10-21T10:00:00+00:00 | 2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00,2019-10-20T02:00:00+00:00:D:7870 | 2019-10-20T06:00:00+00:00:G:7940.47 | 2019-10-20T08:00:00+00:00:D:7883 | 2019-10-20T20:00:00+00:00:G:8297 | 2019-10-20T23:00:00+00:00:D:8165.36 | 2019-10-21T00:00:00+00:00:G:8235 | 2019-10-21T01:00:00+00:00:D:8183 | 2019-10-21T02:00:00+00:00:G:8251.41 | 2019-10-21T04:00:00+00:00:D:8201.63 | 2019-10-21T06:00:00+00:00:G:8249.18 | 2019-10-21T09:00:00+00:00:D:8189.89 | 2019-10-21T10:00:00+00:00:G:8286.28 | 2019-10-21T13:00:00+00:00:D:8219.87 | 2019-10-21T15:00:00+00:00:G:8333
11,↓ 向下,2019-10-21 15:00:00+00:00,顶分型,8333.0,2019-10-23 05:00:00+00:00,底分型,7920.0,30,12,413.0,-0.0496,2019-10-21 13:00:00+00:00,2019-10-23 06:00:00+00:00,2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00 | 2019-10-21T18:00:00+00:00 | 2019-10-21T20:00:00+00:00 | 2019-10-21T21:00:00+00:00 | 2019-10-21T22:00:00+00:00 | 2019-10-21T23:00:00+00:00 | 2019-10-22T00:00:00+00:00 | 2019-10-22T01:00:00+00:00 | 2019-10-22T03:00:00+00:00 | 2019-10-22T04:00:00+00:00 | 2019-10-22T05:00:00+00:00 | 2019-10-22T06:00:00+00:00 | 2019-10-22T07:00:00+00:00 | 2019-10-22T08:00:00+00:00 | 2019-10-22T12:00:00+00:00 | 2019-10-22T13:00:00+00:00 | 2019-10-22T14:00:00+00:00 | 2019-10-22T15:00:00+00:00 | 2019-10-22T16:00:00+00:00 | 2019-10-22T18:00:00+00:00 | 2019-10-22T19:00:00+00:00 | 2019-10-22T20:00:00+00:00 | 2019-10-23T00:00:00+00:00 | 2019-10-23T01:00:00+00:00 | 2019-10-23T02:00:00+00:00 | 2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00,2019-10-21T15:00:00+00:00:G:8333 | 2019-10-21T16:00:00+00:00:D:8142.03 | 2019-10-21T21:00:00+00:00:G:8229.88 | 2019-10-22T01:00:00+00:00:D:8159.96 | 2019-10-22T05:00:00+00:00:G:8218.55 | 2019-10-22T06:00:00+00:00:D:8187.49 | 2019-10-22T12:00:00+00:00:G:8297.99 | 2019-10-22T15:00:00+00:00:D:8165 | 2019-10-22T16:00:00+00:00:G:8223.24 | 2019-10-23T00:00:00+00:00:D:8000 | 2019-10-23T01:00:00+00:00:G:8047.59 | 2019-10-23T05:00:00+00:00:D:7920
12,↑ 向上,2019-10-23 05:00:00+00:00,底分型,7920.0,2019-10-23 10:00:00+00:00,顶分型,8011.96,8,2,91.96,0.0116,2019-10-23 03:00:00+00:00,2019-10-23 11:00:00+00:00,2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00 | 2019-10-23T07:00:00+00:00 | 2019-10-23T08:00:00+00:00 | 2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00,2019-10-23T05:00:00+00:00:D:7920 | 2019-10-23T10:00:00+00:00:G:8011.96
13,↓ 向下,2019-10-23 10:00:00+00:00,顶分型,8011.96,2019-10-23 16:00:00+00:00,底分型,7300.0,6,2,711.96,-0.0889,2019-10-23 09:00:00+00:00,2019-10-23 17:00:00+00:00,2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00 | 2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00,2019-10-23T10:00:00+00:00:G:8011.96 | 2019-10-23T16:00:00+00:00:D:7300
14,↑ 向上,2019-10-23 16:00:00+00:00,底分型,7300.0,2019-10-26 01:00:00+00:00,顶分型,10370.0,46,20,3070.0,0.4205,2019-10-23 12:00:00+00:00,2019-10-26 03:00:00+00:00,2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00 | 2019-10-23T18:00:00+00:00 | 2019-10-23T19:00:00+00:00 | 2019-10-23T20:00:00+00:00 | 2019-10-23T21:00:00+00:00 | 2019-10-23T22:00:00+00:00 | 2019-10-23T23:00:00+00:00 | 2019-10-24T00:00:00+00:00 | 2019-10-24T01:00:00+00:00 | 2019-10-24T03:00:00+00:00 | 2019-10-24T04:00:00+00:00 | 2019-10-24T06:00:00+00:00 | 2019-10-24T07:00:00+00:00 | 2019-10-24T08:00:00+00:00 | 2019-10-24T09:00:00+00:00 | 2019-10-24T10:00:00+00:00 | 2019-10-24T11:00:00+00:00 | 2019-10-24T12:00:00+00:00 | 2019-10-24T13:00:00+00:00 | 2019-10-24T14:00:00+00:00 | 2019-10-24T15:00:00+00:00 | 2019-10-24T18:00:00+00:00 | 2019-10-24T19:00:00+00:00 | 2019-10-24T21:00:00+00:00 | 2019-10-24T23:00:00+00:00 | 2019-10-25T00:00:00+00:00 | 2019-10-25T01:00:00+00:00 | 2019-10-25T02:00:00+00:00 | 2019-10-25T05:00:00+00:00 | 2019-10-25T06:00:00+00:00 | 2019-10-25T07:00:00+00:00 | 2019-10-25T08:00:00+00:00 | 2019-10-25T10:00:00+00:00 | 2019-10-25T11:00:00+00:00 | 2019-10-25T12:00:00+00:00 | 2019-10-25T13:00:00+00:00 | 2019-10-25T14:00:00+00:00 | 2019-10-25T15:00:00+00:00 | 2019-10-25T16:00:00+00:00 | 2019-10-25T17:00:00+00:00 | 2019-10-25T20:00:00+00:00 | 2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00,2019-10-23T16:00:00+00:00:D:7300 | 2019-10-23T18:00:00+00:00:G:7535.55 | 2019-10-23T22:00:00+00:00:D:7386.37 | 2019-10-24T00:00:00+00:00:G:7497.96 | 2019-10-24T06:00:00+00:00:D:7337.99 | 2019-10-24T09:00:00+00:00:G:7478 | 2019-10-24T11:00:00+00:00:D:7413 | 2019-10-24T14:00:00+00:00:G:7503.68 | 2019-10-24T15:00:00+00:00:D:7413.43 | 2019-10-24T19:00:00+00:00:G:7479 | 2019-10-24T21:00:00+00:00:D:7429.41 | 2019-10-24T23:00:00+00:00:G:7465.75 | 2019-10-25T00:00:00+00:00:D:7411.94 | 2019-10-25T02:00:00+00:00:G:7459.29 | 2019-10-25T05:00:00+00:00:D:7361 | 2019-10-25T08:00:00+00:00:G:7475 | 2019-10-25T10:00:00+00:00:D:7439 | 2019-10-25T17:00:00+00:00:G:8799 | 2019-10-25T20:00:00+00:00:D:8535 | 2019-10-26T01:00:00+00:00:G:10370
15,↓ 向下,2019-10-26 01:00:00+00:00,顶分型,10370.0,2019-10-26 18:00:00+00:00,底分型,8855.5,14,8,1514.5,-0.146,2019-10-25 22:00:00+00:00,2019-10-26 19:00:00+00:00,2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00 | 2019-10-26T05:00:00+00:00 | 2019-10-26T06:00:00+00:00 | 2019-10-26T07:00:00+00:00 | 2019-10-26T09:00:00+00:00 | 2019-10-26T12:00:00+00:00 | 2019-10-26T13:00:00+00:00 | 2019-10-26T14:00:00+00:00 | 2019-10-26T15:00:00+00:00 | 2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00,2019-10-26T01:00:00+00:00:G:10370 | 2019-10-26T03:00:00+00:00:D:9415 | 2019-10-26T05:00:00+00:00:G:9777 | 2019-10-26T09:00:00+00:00:D:8970 | 2019-10-26T12:00:00+00:00:G:9444.44 | 2019-10-26T14:00:00+00:00:D:9051 | 2019-10-26T15:00:00+00:00:G:9297.76 | 2019-10-26T18:00:00+00:00:D:8855.5
16,↑ 向上,2019-10-26 18:00:00+00:00,底分型,8855.5,2019-10-27 00:00:00+00:00,顶分型,9369.8,7,2,514.3,0.0581,2019-10-26 16:00:00+00:00,2019-10-27 01:00:00+00:00,2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00 | 2019-10-26T21:00:00+00:00 | 2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00,2019-10-26T18:00:00+00:00:D:8855.5 | 2019-10-27T00:00:00+00:00:G:9369.8
17,↓ 向下,2019-10-27 00:00:00+00:00,顶分型,9369.8,2019-10-27 04:00:00+00:00,底分型,9074.34,6,4,295.46,-0.0315,2019-10-26 22:00:00+00:00,2019-10-27 05:00:00+00:00,2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00 | 2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00,2019-10-27T00:00:00+00:00:G:9369.8 | 2019-10-27T01:00:00+00:00:D:9096 | 2019-10-27T03:00:00+00:00:G:9205.21 | 2019-10-27T04:00:00+00:00:D:9074.34
18,↑ 向上,2019-10-27 04:00:00+00:00,底分型,9074.34,2019-10-28 01:00:00+00:00,顶分型,9902.1,18,6,827.76,0.0912,2019-10-27 03:00:00+00:00,2019-10-28 03:00:00+00:00,2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00 | 2019-10-27T07:00:00+00:00 | 2019-10-27T08:00:00+00:00 | 2019-10-27T09:00:00+00:00 | 2019-10-27T11:00:00+00:00 | 2019-10-27T12:00:00+00:00 | 2019-10-27T13:00:00+00:00 | 2019-10-27T14:00:00+00:00 | 2019-10-27T16:00:00+00:00 | 2019-10-27T19:00:00+00:00 | 2019-10-27T20:00:00+00:00 | 2019-10-27T21:00:00+00:00 | 2019-10-27T23:00:00+00:00 | 2019-10-28T00:00:00+00:00 | 2019-10-28T01:00:00+00:00 | 2019-10-28T03:00:00+00:00,2019-10-27T04:00:00+00:00:D:9074.34 | 2019-10-27T11:00:00+00:00:G:9642.99 | 2019-10-27T12:00:00+00:00:D:9211.19 | 2019-10-27T19:00:00+00:00:G:9794.98 | 2019-10-27T23:00:00+00:00:D:9420 | 2019-10-28T01:00:00+00:00:G:9902.1
19,↓ 向下,2019-10-28 01:00:00+00:00,顶分型,9902.1,2019-10-28 23:00:00+00:00,底分型,9160.0,18,12,742.1,-0.0749,2019-10-28 00:00:00+00:00,2019-10-29 03:00:00+00:00,2019-10-28T00:00:00+00:00 | 2019-10-28T01:00:00+00:00 | 2019-10-28T03:00:00+00:00 | 2019-10-28T04:00:00+00:00 | 2019-10-28T05:00:00+00:00 | 2019-10-28T06:00:00+00:00 | 2019-10-28T08:00:00+00:00 | 2019-10-28T10:00:00+00:00 | 2019-10-28T11:00:00+00:00 | 2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00 | 2019-10-28T14:00:00+00:00 | 2019-10-28T15:00:00+00:00 | 2019-10-28T16:00:00+00:00 | 2019-10-28T17:00:00+00:00 | 2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00 | 2019-10-29T01:00:00+00:00,2019-10-28T01:00:00+00:00:G:9902.1 | 2019-10-28T04:00:00+00:00:D:9525 | 2019-10-28T05:00:00+00:00:G:9679.26 | 2019-10-28T08:00:00+00:00:D:9265 | 2019-10-28T10:00:00+00:00:G:9468.75 | 2019-10-28T12:00:00+00:00:D:9254 | 2019-10-28T13:00:00+00:00:G:9415 | 2019-10-28T14:00:00+00:00:D:9292.71 | 2019-10-28T16:00:00+00:00:G:9400 | 2019-10-28T17:00:00+00:00:D:9320.23 | 2019-10-28T18:00:00+00:00:G:9478.93 | 2019-10-28T23:00:00+00:00:D:9160
20,↑ 向上,2019-10-28 23:00:00+00:00,底分型,9160.0,2019-10-29 05:00:00+00:00,顶分型,9550.0,6,2,390.0,0.0426,2019-10-28 18:00:00+00:00,2019-10-29 08:00:00+00:00,2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00 | 2019-10-29T01:00:00+00:00 | 2019-10-29T04:00:00+00:00 | 2019-10-29T05:00:00+00:00 | 2019-10-29T08:00:00+00:00,2019-10-28T23:00:00+00:00:D:9160 | 2019-10-29T05:00:00+00:00:G:9550
21,↓ 向下,2019-10-29 05:00:00+00:00,顶分型,9550.0,2019-10-30 15:00:00+00:00,底分型,9001.01,23,14,548.99,-0.0575,2019-10-29 04:00:00+00:00,2019-10-30 16:00:00+00:00,2019-10-29T04:00:00+00:00 | 2019-10-29T05:00:00+00:00 | 2019-10-29T08:00:00+00:00 | 2019-10-29T09:00:00+00:00 | 2019-10-29T10:00:00+00:00 | 2019-10-29T12:00:00+00:00 | 2019-10-29T13:00:00+00:00 | 2019-10-29T16:00:00+00:00 | 2019-10-29T18:00:00+00:00 | 2019-10-29T19:00:00+00:00 | 2019-10-29T20:00:00+00:00 | 2019-10-29T23:00:00+00:00 | 2019-10-30T00:00:00+00:00 | 2019-10-30T02:00:00+00:00 | 2019-10-30T04:00:00+00:00 | 2019-10-30T07:00:00+00:00 | 2019-10-30T09:00:00+00:00 | 2019-10-30T10:00:00+00:00 | 2019-10-30T11:00:00+00:00 | 2019-10-30T12:00:00+00:00 | 2019-10-30T13:00:00+00:00 | 2019-10-30T15:00:00+00:00 | 2019-10-30T16:00:00+00:00,2019-10-29T05:00:00+00:00:G:9550 | 2019-10-29T09:00:00+00:00:D:9351 | 2019-10-29T10:00:00+00:00:G:9490.1 | 2019-10-29T16:00:00+00:00:D:9256.91 | 2019-10-29T18:00:00+00:00:G:9397 | 2019-10-29T19:00:00+00:00:D:9072 | 2019-10-29T20:00:00+00:00:G:9482 | 2019-10-30T00:00:00+00:00:D:9245.01 | 2019-10-30T02:00:00+00:00:G:9394.84 | 2019-10-30T07:00:00+00:00:D:9151 | 2019-10-30T09:00:00+00:00:G:9248.79 | 2019-10-30T11:00:00+00:00:D:9018 | 2019-10-30T12:00:00+00:00:G:9172.41 | 2019-10-30T15:00:00+00:00:D:9001.01
22,↑ 向上,2019-10-30 15:00:00+00:00,底分型,9001.01,2019-10-30 22:00:00+00:00,顶分型,9225.0,7,4,223.99,0.0249,2019-10-30 13:00:00+00:00,2019-10-31 00:00:00+00:00,2019-10-30T13:00:00+00:00 | 2019-10-30T15:00:00+00:00 | 2019-10-30T16:00:00+00:00 | 2019-10-30T20:00:00+00:00 | 2019-10-30T21:00:00+00:00 | 2019-10-30T22:00:00+00:00 | 2019-10-31T00:00:00+00:00,2019-10-30T15:00:00+00:00:D:9001.01 | 2019-10-30T20:00:00+00:00:G:9217.33 | 2019-10-30T21:00:00+00:00:D:9128.26 | 2019-10-30T22:00:00+00:00:G:9225
23,↓ 向下,2019-10-30 22:00:00+00:00,顶分型,9225.0,2019-10-31 02:00:00+00:00,底分型,9051.01,6,2,173.99,-0.0189,2019-10-30 21:00:00+00:00,2019-10-31 03:00:00+00:00,2019-10-30T21:00:00+00:00 | 2019-10-30T22:00:00+00:00 | 2019-10-31T00:00:00+00:00 | 2019-10-31T01:00:00+00:00 | 2019-10-31T02:00:00+00:00 | 2019-10-31T03:00:00+00:00,2019-10-30T22:00:00+00:00:G:9225 | 2019-10-31T02:00:00+00:00:D:9051.01
24,↑ 向上,2019-10-31 02:00:00+00:00,底分型,9051.01,2019-10-31 06:00:00+00:00,顶分型,9209.0,6,2,157.99,0.0175,2019-10-31 01:00:00+00:00,2019-10-31 07:00:00+00:00,2019-10-31T01:00:00+00:00 | 2019-10-31T02:00:00+00:00 | 2019-10-31T03:00:00+00:00 | 2019-10-31T05:00:00+00:00 | 2019-10-31T06:00:00+00:00 | 2019-10-31T07:00:00+00:00,2019-10-31T02:00:00+00:00:D:9051.01 | 2019-10-31T06:00:00+00:00:G:9209
25,↓ 向下,2019-10-31 06:00:00+00:00,顶分型,9209.0,2019-10-31 10:00:00+00:00,底分型,8913.0,6,2,296.0,-0.0321,2019-10-31 05:00:00+00:00,2019-10-31 11:00:00+00:00,2019-10-31T05:00:00+00:00 | 2019-10-31T06:00:00+00:00 | 2019-10-31T08:00:00+00:00 | 2019-10-31T09:00:00+00:00 | 2019-10-31T10:00:00+00:00 | 2019-10-31T11:00:00+00:00,2019-10-31T06:00:00+00:00:G:9209 | 2019-10-31T10:00:00+00:00:D:8913
