序号,一致,本项目时间,CZSC时间,本项目类型,CZSC类型,本项目价格,CZSC价格,本项目无包含K序号,CZSC无包含K序号,本项目三K时间,CZSC三K时间
10,True,2019-10-15 08:00:00+00:00,2019-10-15 08:00:00+00:00,底分型,底分型,8258.4,8258.4,20,20,2019-10-15T07:00:00+00:00 | 2019-10-15T08:00:00+00:00 | 2019-10-15T10:00:00+00:00,2019-10-15T07:00:00+00:00 | 2019-10-15T08:00:00+00:00 | 2019-10-15T10:00:00+00:00
11,True,2019-10-15 12:00:00+00:00,2019-10-15 12:00:00+00:00,顶分型,顶分型,8323.23,8323.23,22,22,2019-10-15T10:00:00+00:00 | 2019-10-15T12:00:00+00:00 | 2019-10-15T16:00:00+00:00,2019-10-15T10:00:00+00:00 | 2019-10-15T12:00:00+00:00 | 2019-10-15T16:00:00+00:00
12,True,2019-10-15 16:00:00+00:00,2019-10-15 16:00:00+00:00,底分型,底分型,8090.0,8090.0,23,23,2019-10-15T12:00:00+00:00 | 2019-10-15T16:00:00+00:00 | 2019-10-15T23:00:00+00:00,2019-10-15T12:00:00+00:00 | 2019-10-15T16:00:00+00:00 | 2019-10-15T23:00:00+00:00
13,True,2019-10-15 23:00:00+00:00,2019-10-15 23:00:00+00:00,顶分型,顶分型,8182.77,8182.77,24,24,2019-10-15T16:00:00+00:00 | 2019-10-15T23:00:00+00:00 | 2019-10-16T02:00:00+00:00,2019-10-15T16:00:00+00:00 | 2019-10-15T23:00:00+00:00 | 2019-10-16T02:00:00+00:00
14,True,2019-10-16 03:00:00+00:00,2019-10-16 03:00:00+00:00,底分型,底分型,8145.5,8145.5,26,26,2019-10-16T02:00:00+00:00 | 2019-10-16T03:00:00+00:00 | 2019-10-16T06:00:00+00:00,2019-10-16T02:00:00+00:00 | 2019-10-16T03:00:00+00:00 | 2019-10-16T06:00:00+00:00
15,True,2019-10-16 06:00:00+00:00,2019-10-16 06:00:00+00:00,顶分型,顶分型,8177.27,8177.27,27,27,2019-10-16T03:00:00+00:00 | 2019-10-16T06:00:00+00:00 | 2019-10-16T07:00:00+00:00,2019-10-16T03:00:00+00:00 | 2019-10-16T06:00:00+00:00 | 2019-10-16T07:00:00+00:00
16,True,2019-10-16 09:00:00+00:00,2019-10-16 09:00:00+00:00,底分型,底分型,8100.0,8100.0,29,29,2019-10-16T07:00:00+00:00 | 2019-10-16T09:00:00+00:00 | 2019-10-16T10:00:00+00:00,2019-10-16T07:00:00+00:00 | 2019-10-16T09:00:00+00:00 | 2019-10-16T10:00:00+00:00
17,True,2019-10-16 10:00:00+00:00,2019-10-16 10:00:00+00:00,顶分型,顶分型,8162.0,8162.0,30,30,2019-10-16T09:00:00+00:00 | 2019-10-16T10:00:00+00:00 | 2019-10-16T11:00:00+00:00,2019-10-16T09:00:00+00:00 | 2019-10-16T10:00:00+00:00 | 2019-10-16T11:00:00+00:00
18,True,2019-10-16 16:00:00+00:00,2019-10-16 16:00:00+00:00,底分型,底分型,7917.0,7917.0,32,32,2019-10-16T11:00:00+00:00 | 2019-10-16T16:00:00+00:00 | 2019-10-16T20:00:00+00:00,2019-10-16T11:00:00+00:00 | 2019-10-16T16:00:00+00:00 | 2019-10-16T20:00:00+00:00
19,True,2019-10-16 23:00:00+00:00,2019-10-16 23:00:00+00:00,顶分型,顶分型,8023.0,8023.0,36,36,2019-10-16T22:00:00+00:00 | 2019-10-16T23:00:00+00:00 | 2019-10-17T00:00:00+00:00,2019-10-16T22:00:00+00:00 | 2019-10-16T23:00:00+00:00 | 2019-10-17T00:00:00+00:00
20,True,2019-10-17 00:00:00+00:00,2019-10-17 00:00:00+00:00,底分型,底分型,7952.63,7952.63,37,37,2019-10-16T23:00:00+00:00 | 2019-10-17T00:00:00+00:00 | 2019-10-17T02:00:00+00:00,2019-10-16T23:00:00+00:00 | 2019-10-17T00:00:00+00:00 | 2019-10-17T02:00:00+00:00
21,True,2019-10-17 02:00:00+00:00,2019-10-17 02:00:00+00:00,顶分型,顶分型,7989.86,7989.86,38,38,2019-10-17T00:00:00+00:00 | 2019-10-17T02:00:00+00:00 | 2019-10-17T04:00:00+00:00,2019-10-17T00:00:00+00:00 | 2019-10-17T02:00:00+00:00 | 2019-10-17T04:00:00+00:00
22,True,2019-10-17 04:00:00+00:00,2019-10-17 04:00:00+00:00,底分型,底分型,7929.03,7929.03,39,39,2019-10-17T02:00:00+00:00 | 2019-10-17T04:00:00+00:00 | 2019-10-17T05:00:00+00:00,2019-10-17T02:00:00+00:00 | 2019-10-17T04:00:00+00:00 | 2019-10-17T05:00:00+00:00
23,True,2019-10-17 11:00:00+00:00,2019-10-17 11:00:00+00:00,顶分型,顶分型,8118.86,8118.86,44,44,2019-10-17T10:00:00+00:00 | 2019-10-17T11:00:00+00:00 | 2019-10-17T12:00:00+00:00,2019-10-17T10:00:00+00:00 | 2019-10-17T11:00:00+00:00 | 2019-10-17T12:00:00+00:00
24,True,2019-10-17 12:00:00+00:00,2019-10-17 12:00:00+00:00,底分型,底分型,8016.01,8016.01,45,45,2019-10-17T11:00:00+00:00 | 2019-10-17T12:00:00+00:00 | 2019-10-17T13:00:00+00:00,2019-10-17T11:00:00+00:00 | 2019-10-17T12:00:00+00:00 | 2019-10-17T13:00:00+00:00
25,True,2019-10-17 13:00:00+00:00,2019-10-17 13:00:00+00:00,顶分型,顶分型,8078.93,8078.93,46,46,2019-10-17T12:00:00+00:00 | 2019-10-17T13:00:00+00:00 | 2019-10-17T14:00:00+00:00,2019-10-17T12:00:00+00:00 | 2019-10-17T13:00:00+00:00 | 2019-10-17T14:00:00+00:00
26,True,2019-10-17 14:00:00+00:00,2019-10-17 14:00:00+00:00,底分型,底分型,8030.49,8030.49,47,47,2019-10-17T13:00:00+00:00 | 2019-10-17T14:00:00+00:00 | 2019-10-17T15:00:00+00:00,2019-10-17T13:00:00+00:00 | 2019-10-17T14:00:00+00:00 | 2019-10-17T15:00:00+00:00
27,True,2019-10-17 16:00:00+00:00,2019-10-17 16:00:00+00:00,顶分型,顶分型,8124.92,8124.92,49,49,2019-10-17T15:00:00+00:00 | 2019-10-17T16:00:00+00:00 | 2019-10-17T19:00:00+00:00,2019-10-17T15:00:00+00:00 | 2019-10-17T16:00:00+00:00 | 2019-10-17T19:00:00+00:00
28,True,2019-10-17 20:00:00+00:00,2019-10-17 20:00:00+00:00,底分型,底分型,8032.54,8032.54,51,51,2019-10-17T19:00:00+00:00 | 2019-10-17T20:00:00+00:00 | 2019-10-17T21:00:00+00:00,2019-10-17T19:00:00+00:00 | 2019-10-17T20:00:00+00:00 | 2019-10-17T21:00:00+00:00
29,True,2019-10-18 02:00:00+00:00,2019-10-18 02:00:00+00:00,顶分型,顶分型,8115.0,8115.0,57,57,2019-10-18T01:00:00+00:00 | 2019-10-18T02:00:00+00:00 | 2019-10-18T03:00:00+00:00,2019-10-18T01:00:00+00:00 | 2019-10-18T02:00:00+00:00 | 2019-10-18T03:00:00+00:00
30,True,2019-10-18 08:00:00+00:00,2019-10-18 08:00:00+00:00,底分型,底分型,7816.01,7816.01,61,61,2019-10-18T05:00:00+00:00 | 2019-10-18T08:00:00+00:00 | 2019-10-18T09:00:00+00:00,2019-10-18T05:00:00+00:00 | 2019-10-18T08:00:00+00:00 | 2019-10-18T09:00:00+00:00
31,True,2019-10-18 12:00:00+00:00,2019-10-18 12:00:00+00:00,顶分型,顶分型,7975.0,7975.0,64,64,2019-10-18T11:00:00+00:00 | 2019-10-18T12:00:00+00:00 | 2019-10-18T13:00:00+00:00,2019-10-18T11:00:00+00:00 | 2019-10-18T12:00:00+00:00 | 2019-10-18T13:00:00+00:00
32,True,2019-10-18 14:00:00+00:00,2019-10-18 14:00:00+00:00,底分型,底分型,7884.01,7884.01,66,66,2019-10-18T13:00:00+00:00 | 2019-10-18T14:00:00+00:00 | 2019-10-18T15:00:00+00:00,2019-10-18T13:00:00+00:00 | 2019-10-18T14:00:00+00:00 | 2019-10-18T15:00:00+00:00
33,True,2019-10-18 16:00:00+00:00,2019-10-18 16:00:00+00:00,顶分型,顶分型,7952.25,7952.25,68,68,2019-10-18T15:00:00+00:00 | 2019-10-18T16:00:00+00:00 | 2019-10-18T17:00:00+00:00,2019-10-18T15:00:00+00:00 | 2019-10-18T16:00:00+00:00 | 2019-10-18T17:00:00+00:00
34,True,2019-10-18 17:00:00+00:00,2019-10-18 17:00:00+00:00,底分型,底分型,7905.0,7905.0,69,69,2019-10-18T16:00:00+00:00 | 2019-10-18T17:00:00+00:00 | 2019-10-18T18:00:00+00:00,2019-10-18T16:00:00+00:00 | 2019-10-18T17:00:00+00:00 | 2019-10-18T18:00:00+00:00
35,True,2019-10-18 18:00:00+00:00,2019-10-18 18:00:00+00:00,顶分型,顶分型,7983.32,7983.32,70,70,2019-10-18T17:00:00+00:00 | 2019-10-18T18:00:00+00:00 | 2019-10-18T19:00:00+00:00,2019-10-18T17:00:00+00:00 | 2019-10-18T18:00:00+00:00 | 2019-10-18T19:00:00+00:00
36,True,2019-10-18 20:00:00+00:00,2019-10-18 20:00:00+00:00,底分型,底分型,7915.02,7915.02,72,72,2019-10-18T19:00:00+00:00 | 2019-10-18T20:00:00+00:00 | 2019-10-18T22:00:00+00:00,2019-10-18T19:00:00+00:00 | 2019-10-18T20:00:00+00:00 | 2019-10-18T22:00:00+00:00
37,True,2019-10-18 22:00:00+00:00,2019-10-18 22:00:00+00:00,顶分型,顶分型,7978.0,7978.0,73,73,2019-10-18T20:00:00+00:00 | 2019-10-18T22:00:00+00:00 | 2019-10-19T01:00:00+00:00,2019-10-18T20:00:00+00:00 | 2019-10-18T22:00:00+00:00 | 2019-10-19T01:00:00+00:00
38,True,2019-10-19 02:00:00+00:00,2019-10-19 02:00:00+00:00,底分型,底分型,7892.0,7892.0,75,75,2019-10-19T01:00:00+00:00 | 2019-10-19T02:00:00+00:00 | 2019-10-19T03:00:00+00:00,2019-10-19T01:00:00+00:00 | 2019-10-19T02:00:00+00:00 | 2019-10-19T03:00:00+00:00
39,True,2019-10-19 03:00:00+00:00,2019-10-19 03:00:00+00:00,顶分型,顶分型,7957.99,7957.99,76,76,2019-10-19T02:00:00+00:00 | 2019-10-19T03:00:00+00:00 | 2019-10-19T05:00:00+00:00,2019-10-19T02:00:00+00:00 | 2019-10-19T03:00:00+00:00 | 2019-10-19T05:00:00+00:00
40,True,2019-10-19 06:00:00+00:00,2019-10-19 06:00:00+00:00,底分型,底分型,7913.16,7913.16,78,78,2019-10-19T05:00:00+00:00 | 2019-10-19T06:00:00+00:00 | 2019-10-19T08:00:00+00:00,2019-10-19T05:00:00+00:00 | 2019-10-19T06:00:00+00:00 | 2019-10-19T08:00:00+00:00
41,True,2019-10-19 08:00:00+00:00,2019-10-19 08:00:00+00:00,顶分型,顶分型,7998.9,7998.9,79,79,2019-10-19T06:00:00+00:00 | 2019-10-19T08:00:00+00:00 | 2019-10-19T10:00:00+00:00,2019-10-19T06:00:00+00:00 | 2019-10-19T08:00:00+00:00 | 2019-10-19T10:00:00+00:00
42,True,2019-10-19 10:00:00+00:00,2019-10-19 10:00:00+00:00,底分型,底分型,7920.0,7920.0,80,80,2019-10-19T08:00:00+00:00 | 2019-10-19T10:00:00+00:00 | 2019-10-19T12:00:00+00:00,2019-10-19T08:00:00+00:00 | 2019-10-19T10:00:00+00:00 | 2019-10-19T12:00:00+00:00
43,True,2019-10-19 12:00:00+00:00,2019-10-19 12:00:00+00:00,顶分型,顶分型,8098.1,8098.1,81,81,2019-10-19T10:00:00+00:00 | 2019-10-19T12:00:00+00:00 | 2019-10-19T14:00:00+00:00,2019-10-19T10:00:00+00:00 | 2019-10-19T12:00:00+00:00 | 2019-10-19T14:00:00+00:00
44,True,2019-10-19 16:00:00+00:00,2019-10-19 16:00:00+00:00,底分型,底分型,7937.69,7937.69,84,84,2019-10-19T15:00:00+00:00 | 2019-10-19T16:00:00+00:00 | 2019-10-19T17:00:00+00:00,2019-10-19T15:00:00+00:00 | 2019-10-19T16:00:00+00:00 | 2019-10-19T17:00:00+00:00
45,True,2019-10-19 17:00:00+00:00,2019-10-19 17:00:00+00:00,顶分型,顶分型,7999.38,7999.38,85,85,2019-10-19T16:00:00+00:00 | 2019-10-19T17:00:00+00:00 | 2019-10-19T19:00:00+00:00,2019-10-19T16:00:00+00:00 | 2019-10-19T17:00:00+00:00 | 2019-10-19T19:00:00+00:00
46,True,2019-10-19 21:00:00+00:00,2019-10-19 21:00:00+00:00,底分型,底分型,7891.76,7891.76,88,88,2019-10-19T20:00:00+00:00 | 2019-10-19T21:00:00+00:00 | 2019-10-19T23:00:00+00:00,2019-10-19T20:00:00+00:00 | 2019-10-19T21:00:00+00:00 | 2019-10-19T23:00:00+00:00
47,True,2019-10-19 23:00:00+00:00,2019-10-19 23:00:00+00:00,顶分型,顶分型,7954.99,7954.99,89,89,2019-10-19T21:00:00+00:00 | 2019-10-19T23:00:00+00:00 | 2019-10-20T00:00:00+00:00,2019-10-19T21:00:00+00:00 | 2019-10-19T23:00:00+00:00 | 2019-10-20T00:00:00+00:00
48,True,2019-10-20 02:00:00+00:00,2019-10-20 02:00:00+00:00,底分型,底分型,7870.0,7870.0,92,92,2019-10-20T01:00:00+00:00 | 2019-10-20T02:00:00+00:00 | 2019-10-20T06:00:00+00:00,2019-10-20T01:00:00+00:00 | 2019-10-20T02:00:00+00:00 | 2019-10-20T06:00:00+00:00
49,True,2019-10-20 06:00:00+00:00,2019-10-20 06:00:00+00:00,顶分型,顶分型,7940.47,7940.47,93,93,2019-10-20T02:00:00+00:00 | 2019-10-20T06:00:00+00:00 | 2019-10-20T07:00:00+00:00,2019-10-20T02:00:00+00:00 | 2019-10-20T06:00:00+00:00 | 2019-10-20T07:00:00+00:00
50,True,2019-10-20 08:00:00+00:00,2019-10-20 08:00:00+00:00,底分型,底分型,7883.0,7883.0,95,95,2019-10-20T07:00:00+00:00 | 2019-10-20T08:00:00+00:00 | 2019-10-20T09:00:00+00:00,2019-10-20T07:00:00+00:00 | 2019-10-20T08:00:00+00:00 | 2019-10-20T09:00:00+00:00
51,True,2019-10-20 20:00:00+00:00,2019-10-20 20:00:00+00:00,顶分型,顶分型,8297.0,8297.0,104,104,2019-10-20T19:00:00+00:00 | 2019-10-20T20:00:00+00:00 | 2019-10-20T21:00:00+00:00,2019-10-20T19:00:00+00:00 | 2019-10-20T20:00:00+00:00 | 2019-10-20T21:00:00+00:00
52,True,2019-10-20 23:00:00+00:00,2019-10-20 23:00:00+00:00,底分型,底分型,8165.36,8165.36,106,106,2019-10-20T21:00:00+00:00 | 2019-10-20T23:00:00+00:00 | 2019-10-21T00:00:00+00:00,2019-10-20T21:00:00+00:00 | 2019-10-20T23:00:00+00:00 | 2019-10-21T00:00:00+00:00
53,True,2019-10-21 00:00:00+00:00,2019-10-21 00:00:00+00:00,顶分型,顶分型,8235.0,8235.0,107,107,2019-10-20T23:00:00+00:00 | 2019-10-21T00:00:00+00:00 | 2019-10-21T01:00:00+00:00,2019-10-20T23:00:00+00:00 | 2019-10-21T00:00:00+00:00 | 2019-10-21T01:00:00+00:00
54,True,2019-10-21 01:00:00+00:00,2019-10-21 01:00:00+00:00,底分型,底分型,8183.0,8183.0,108,108,2019-10-21T00:00:00+00:00 | 2019-10-21T01:00:00+00:00 | 2019-10-21T02:00:00+00:00,2019-10-21T00:00:00+00:00 | 2019-10-21T01:00:00+00:00 | 2019-10-21T02:00:00+00:00
55,True,2019-10-21 02:00:00+00:00,2019-10-21 02:00:00+00:00,顶分型,顶分型,8251.41,8251.41,109,109,2019-10-21T01:00:00+00:00 | 2019-10-21T02:00:00+00:00 | 2019-10-21T04:00:00+00:00,2019-10-21T01:00:00+00:00 | 2019-10-21T02:00:00+00:00 | 2019-10-21T04:00:00+00:00
56,True,2019-10-21 04:00:00+00:00,2019-10-21 04:00:00+00:00,底分型,底分型,8201.63,8201.63,110,110,2019-10-21T02:00:00+00:00 | 2019-10-21T04:00:00+00:00 | 2019-10-21T05:00:00+00:00,2019-10-21T02:00:00+00:00 | 2019-10-21T04:00:00+00:00 | 2019-10-21T05:00:00+00:00
57,True,2019-10-21 06:00:00+00:00,2019-10-21 06:00:00+00:00,顶分型,顶分型,8249.18,8249.18,112,112,2019-10-21T05:00:00+00:00 | 2019-10-21T06:00:00+00:00 | 2019-10-21T07:00:00+00:00,2019-10-21T05:00:00+00:00 | 2019-10-21T06:00:00+00:00 | 2019-10-21T07:00:00+00:00
58,True,2019-10-21 09:00:00+00:00,2019-10-21 09:00:00+00:00,底分型,底分型,8189.89,8189.89,115,115,2019-10-21T08:00:00+00:00 | 2019-10-21T09:00:00+00:00 | 2019-10-21T10:00:00+00:00,2019-10-21T08:00:00+00:00 | 2019-10-21T09:00:00+00:00 | 2019-10-21T10:00:00+00:00
59,True,2019-10-21 10:00:00+00:00,2019-10-21 10:00:00+00:00,顶分型,顶分型,8286.28,8286.28,116,116,2019-10-21T09:00:00+00:00 | 2019-10-21T10:00:00+00:00 | 2019-10-21T13:00:00+00:00,2019-10-21T09:00:00+00:00 | 2019-10-21T10:00:00+00:00 | 2019-10-21T13:00:00+00:00
60,True,2019-10-21 13:00:00+00:00,2019-10-21 13:00:00+00:00,底分型,底分型,8219.87,8219.87,117,117,2019-10-21T10:00:00+00:00 | 2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00,2019-10-21T10:00:00+00:00 | 2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00
61,True,2019-10-21 15:00:00+00:00,2019-10-21 15:00:00+00:00,顶分型,顶分型,8333.0,8333.0,118,118,2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00,2019-10-21T13:00:00+00:00 | 2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00
62,True,2019-10-21 16:00:00+00:00,2019-10-21 16:00:00+00:00,底分型,底分型,8142.03,8142.03,119,119,2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00 | 2019-10-21T18:00:00+00:00,2019-10-21T15:00:00+00:00 | 2019-10-21T16:00:00+00:00 | 2019-10-21T18:00:00+00:00
63,True,2019-10-21 21:00:00+00:00,2019-10-21 21:00:00+00:00,顶分型,顶分型,8229.88,8229.88,122,122,2019-10-21T20:00:00+00:00 | 2019-10-21T21:00:00+00:00 | 2019-10-21T22:00:00+00:00,2019-10-21T20:00:00+00:00 | 2019-10-21T21:00:00+00:00 | 2019-10-21T22:00:00+00:00
64,True,2019-10-22 01:00:00+00:00,2019-10-22 01:00:00+00:00,底分型,底分型,8159.96,8159.96,126,126,2019-10-22T00:00:00+00:00 | 2019-10-22T01:00:00+00:00 | 2019-10-22T03:00:00+00:00,2019-10-22T00:00:00+00:00 | 2019-10-22T01:00:00+00:00 | 2019-10-22T03:00:00+00:00
65,True,2019-10-22 05:00:00+00:00,2019-10-22 05:00:00+00:00,顶分型,顶分型,8218.55,8218.55,129,129,2019-10-22T04:00:00+00:00 | 2019-10-22T05:00:00+00:00 | 2019-10-22T06:00:00+00:00,2019-10-22T04:00:00+00:00 | 2019-10-22T05:00:00+00:00 | 2019-10-22T06:00:00+00:00
66,True,2019-10-22 06:00:00+00:00,2019-10-22 06:00:00+00:00,底分型,底分型,8187.49,8187.49,130,130,2019-10-22T05:00:00+00:00 | 2019-10-22T06:00:00+00:00 | 2019-10-22T07:00:00+00:00,2019-10-22T05:00:00+00:00 | 2019-10-22T06:00:00+00:00 | 2019-10-22T07:00:00+00:00
67,True,2019-10-22 12:00:00+00:00,2019-10-22 12:00:00+00:00,顶分型,顶分型,8297.99,8297.99,133,133,2019-10-22T08:00:00+00:00 | 2019-10-22T12:00:00+00:00 | 2019-10-22T13:00:00+00:00,2019-10-22T08:00:00+00:00 | 2019-10-22T12:00:00+00:00 | 2019-10-22T13:00:00+00:00
68,True,2019-10-22 15:00:00+00:00,2019-10-22 15:00:00+00:00,底分型,底分型,8165.0,8165.0,136,136,2019-10-22T14:00:00+00:00 | 2019-10-22T15:00:00+00:00 | 2019-10-22T16:00:00+00:00,2019-10-22T14:00:00+00:00 | 2019-10-22T15:00:00+00:00 | 2019-10-22T16:00:00+00:00
69,True,2019-10-22 16:00:00+00:00,2019-10-22 16:00:00+00:00,顶分型,顶分型,8223.24,8223.24,137,137,2019-10-22T15:00:00+00:00 | 2019-10-22T16:00:00+00:00 | 2019-10-22T18:00:00+00:00,2019-10-22T15:00:00+00:00 | 2019-10-22T16:00:00+00:00 | 2019-10-22T18:00:00+00:00
70,True,2019-10-23 00:00:00+00:00,2019-10-23 00:00:00+00:00,底分型,底分型,8000.0,8000.0,141,141,2019-10-22T20:00:00+00:00 | 2019-10-23T00:00:00+00:00 | 2019-10-23T01:00:00+00:00,2019-10-22T20:00:00+00:00 | 2019-10-23T00:00:00+00:00 | 2019-10-23T01:00:00+00:00
71,True,2019-10-23 01:00:00+00:00,2019-10-23 01:00:00+00:00,顶分型,顶分型,8047.59,8047.59,142,142,2019-10-23T00:00:00+00:00 | 2019-10-23T01:00:00+00:00 | 2019-10-23T02:00:00+00:00,2019-10-23T00:00:00+00:00 | 2019-10-23T01:00:00+00:00 | 2019-10-23T02:00:00+00:00
72,True,2019-10-23 05:00:00+00:00,2019-10-23 05:00:00+00:00,底分型,底分型,7920.0,7920.0,145,145,2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00,2019-10-23T04:00:00+00:00 | 2019-10-23T05:00:00+00:00 | 2019-10-23T06:00:00+00:00
73,True,2019-10-23 10:00:00+00:00,2019-10-23 10:00:00+00:00,顶分型,顶分型,8011.96,8011.96,150,150,2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00,2019-10-23T09:00:00+00:00 | 2019-10-23T10:00:00+00:00 | 2019-10-23T11:00:00+00:00
74,True,2019-10-23 16:00:00+00:00,2019-10-23 16:00:00+00:00,底分型,底分型,7300.0,7300.0,153,153,2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00,2019-10-23T12:00:00+00:00 | 2019-10-23T16:00:00+00:00 | 2019-10-23T17:00:00+00:00
75,True,2019-10-23 18:00:00+00:00,2019-10-23 18:00:00+00:00,顶分型,顶分型,7535.55,7535.55,155,155,2019-10-23T17:00:00+00:00 | 2019-10-23T18:00:00+00:00 | 2019-10-23T19:00:00+00:00,2019-10-23T17:00:00+00:00 | 2019-10-23T18:00:00+00:00 | 2019-10-23T19:00:00+00:00
76,True,2019-10-23 22:00:00+00:00,2019-10-23 22:00:00+00:00,底分型,底分型,7386.37,7386.37,159,159,2019-10-23T21:00:00+00:00 | 2019-10-23T22:00:00+00:00 | 2019-10-23T23:00:00+00:00,2019-10-23T21:00:00+00:00 | 2019-10-23T22:00:00+00:00 | 2019-10-23T23:00:00+00:00
77,True,2019-10-24 00:00:00+00:00,2019-10-24 00:00:00+00:00,顶分型,顶分型,7497.96,7497.96,161,161,2019-10-23T23:00:00+00:00 | 2019-10-24T00:00:00+00:00 | 2019-10-24T01:00:00+00:00,2019-10-23T23:00:00+00:00 | 2019-10-24T00:00:00+00:00 | 2019-10-24T01:00:00+00:00
78,True,2019-10-24 06:00:00+00:00,2019-10-24 06:00:00+00:00,底分型,底分型,7337.99,7337.99,165,165,2019-10-24T04:00:00+00:00 | 2019-10-24T06:00:00+00:00 | 2019-10-24T07:00:00+00:00,2019-10-24T04:00:00+00:00 | 2019-10-24T06:00:00+00:00 | 2019-10-24T07:00:00+00:00
79,True,2019-10-24 09:00:00+00:00,2019-10-24 09:00:00+00:00,顶分型,顶分型,7478.0,7478.0,168,168,2019-10-24T08:00:00+00:00 | 2019-10-24T09:00:00+00:00 | 2019-10-24T10:00:00+00:00,2019-10-24T08:00:00+00:00 | 2019-10-24T09:00:00+00:00 | 2019-10-24T10:00:00+00:00
