线段序号,起始笔位置,终点边界位置,确认方式,确认发生笔位置,主分型方向,主分型类型,主分型时间,主分型价格,主分型有缺口,初始缺口端点位置,初始缺口端点时间,初始缺口端点价格,最终线段端点位置,最终线段端点时间,最终线段端点价格,端点发生迁移,主分型真实突破,主分型突破状态,主分型三元素,反向分型时间,反向分型类型,反向分型三元素
26,163,166,NO_GAP,170,向上,顶分型,2026-01-09 18:50:00+00:00,110.93013363789335,False,,,,166,2026-01-09 18:50:00+00:00,110.93013363789335,False,True,已确认,"164 / 166,168 / 170",,,
27,166,171,NO_GAP,173,向下,底分型,2026-01-10 01:10:00+00:00,89.81629781092089,False,,,,171,2026-01-10 01:10:00+00:00,89.81629781092089,False,True,已确认,169 / 171 / 173,,,
28,171,174,NO_GAP,176,向上,顶分型,2026-01-10 03:20:00+00:00,110.64496669308403,False,,,,174,2026-01-10 03:20:00+00:00,110.64496669308403,False,True,已确认,172 / 174 / 176,,,
29,174,183,NO_GAP,185,向下,底分型,2026-01-10 13:00:00+00:00,89.96549396857695,False,,,,183,2026-01-10 13:00:00+00:00,89.96549396857695,False,True,已确认,"177,179,181 / 183 / 185",,,
30,183,192,NO_GAP,194,向上,顶分型,2026-01-10 23:25:00+00:00,111.34127538063434,False,,,,192,2026-01-10 23:25:00+00:00,111.34127538063434,False,True,已确认,190 / 192 / 194,,,
31,192,195,GAP_REVERSE_FRACTAL,200,向下,底分型,2026-01-11 01:35:00+00:00,89.37563517638253,True,195.0,2026-01-11 01:35:00+00:00,89.37563517638253,195,2026-01-11 01:35:00+00:00,89.37563517638253,False,True,已确认,193 / 195 / 197,2026-01-11 03:35:00+00:00,顶分型,196 / 198 / 200
32,195,198,GAP_REVERSE_FRACTAL,203,向上,顶分型,2026-01-11 03:35:00+00:00,111.55808245222487,True,198.0,2026-01-11 03:35:00+00:00,111.55808245222487,198,2026-01-11 03:35:00+00:00,111.55808245222487,False,True,已确认,196 / 198 / 200,2026-01-11 05:50:00+00:00,底分型,199 / 201 / 203
33,198,201,GAP_REVERSE_FRACTAL,206,向下,底分型,2026-01-11 05:50:00+00:00,88.22927230323205,True,201.0,2026-01-11 05:50:00+00:00,88.22927230323205,201,2026-01-11 05:50:00+00:00,88.22927230323205,False,True,已确认,199 / 201 / 203,2026-01-11 07:55:00+00:00,顶分型,202 / 204 / 206
34,201,210,NO_GAP,212,向上,顶分型,2026-01-11 16:25:00+00:00,111.99146658364309,False,204.0,2026-01-11 07:55:00+00:00,110.54003910558671,210,2026-01-11 16:25:00+00:00,111.99146658364309,True,True,已确认,208 / 210 / 212,,,
35,210,221,NO_GAP,223,向下,底分型,2026-01-12 02:50:00+00:00,87.50767090244233,False,213.0,2026-01-11 18:25:00+00:00,87.7490295629529,221,2026-01-12 02:50:00+00:00,87.50767090244233,True,True,已确认,219 / 221 / 223,,,
36,221,224,NO_GAP,226,向上,顶分型,2026-01-12 09:15:00+00:00,112.708175080453,False,,,,224,2026-01-12 09:15:00+00:00,112.708175080453,False,True,已确认,222 / 224 / 226,,,
37,224,229,NO_GAP,235,向下,底分型,2026-01-12 19:45:00+00:00,87.00406698675793,False,,,,229,2026-01-12 19:45:00+00:00,87.00406698675793,False,True,已确认,"227 / 229,231,233 / 235",,,
38,229,236,NO_GAP,242,向上,顶分型,2026-01-13 06:25:00+00:00,113.01246789158424,False,,,,236,2026-01-13 06:25:00+00:00,113.01246789158424,False,True,已确认,"232,234 / 236,238,240 / 242",,,
39,236,243,NO_GAP,245,向下,底分型,2026-01-13 16:50:00+00:00,87.79254955991993,False,,,,243,2026-01-13 16:50:00+00:00,87.79254955991993,False,True,已确认,241 / 243 / 245,,,
40,243,246,NO_GAP,254,向上,顶分型,2026-01-13 19:00:00+00:00,112.65145456666403,False,,,,246,2026-01-13 19:00:00+00:00,112.65145456666403,False,True,已确认,"244 / 246,248,250,252 / 254",,,
41,246,255,NO_GAP,257,向下,底分型,2026-01-14 09:50:00+00:00,88.65825947904035,False,,,,255,2026-01-14 09:50:00+00:00,88.65825947904035,False,True,已确认,253 / 255 / 257,,,
42,255,258,NO_GAP,260,向上,顶分型,2026-01-14 12:00:00+00:00,110.54883416216087,False,,,,258,2026-01-14 12:00:00+00:00,110.54883416216087,False,True,已确认,256 / 258 / 260,,,
43,258,261,NO_GAP,263,向下,底分型,2026-01-14 14:10:00+00:00,88.87646074428991,False,,,,261,2026-01-14 14:10:00+00:00,88.87646074428991,False,True,已确认,259 / 261 / 263,,,
44,261,264,NO_GAP,268,向上,顶分型,2026-01-14 16:10:00+00:00,110.59159920432657,False,,,,264,2026-01-14 16:10:00+00:00,110.59159920432657,False,True,已确认,"262 / 264,266 / 268",,,
45,264,269,NO_GAP,271,向下,底分型,2026-01-14 22:25:00+00:00,90.50241512504655,False,,,,269,2026-01-14 22:25:00+00:00,90.50241512504655,False,True,已确认,267 / 269 / 271,,,
46,269,272,NO_GAP,276,向上,顶分型,2026-01-15 00:50:00+00:00,110.1892086671768,False,,,,272,2026-01-15 00:50:00+00:00,110.1892086671768,False,True,已确认,"270 / 272,274 / 276",,,
47,272,277,GAP_REVERSE_FRACTAL,282,向下,底分型,2026-01-15 05:55:00+00:00,89.62247220897916,True,277.0,2026-01-15 05:55:00+00:00,89.62247220897916,277,2026-01-15 05:55:00+00:00,89.62247220897916,False,True,已确认,275 / 277 / 279,2026-01-15 07:50:00+00:00,顶分型,278 / 280 / 282
48,277,284,NO_GAP,286,向上,顶分型,2026-01-15 12:20:00+00:00,110.28329339729986,False,280.0,2026-01-15 07:50:00+00:00,109.09600864281691,284,2026-01-15 12:20:00+00:00,110.28329339729986,True,True,已确认,282 / 284 / 286,,,
49,284,287,GAP_REVERSE_FRACTAL,292,向下,底分型,2026-01-15 14:20:00+00:00,90.14599081514267,True,287.0,2026-01-15 14:20:00+00:00,90.14599081514267,287,2026-01-15 14:20:00+00:00,90.14599081514267,False,True,已确认,285 / 287 / 289,2026-01-15 16:25:00+00:00,顶分型,288 / 290 / 292
50,287,290,GAP_REVERSE_FRACTAL,295,向上,顶分型,2026-01-15 16:25:00+00:00,110.54848436717462,True,290.0,2026-01-15 16:25:00+00:00,110.54848436717462,290,2026-01-15 16:25:00+00:00,110.54848436717462,False,True,已确认,288 / 290 / 292,2026-01-15 18:45:00+00:00,底分型,291 / 293 / 295
51,290,297,NO_GAP,299,向下,底分型,2026-01-15 22:50:00+00:00,88.70377354979387,False,293.0,2026-01-15 18:45:00+00:00,89.59522796657207,297,2026-01-15 22:50:00+00:00,88.70377354979387,True,True,已确认,295 / 297 / 299,,,
52,297,304,NO_GAP,310,向上,顶分型,2026-01-16 05:15:00+00:00,111.5810951189811,False,300.0,2026-01-16 00:50:00+00:00,111.5349572358613,304,2026-01-16 05:15:00+00:00,111.5810951189811,True,True,已确认,"302 / 304,306,308 / 310",,,
53,304,311,NO_GAP,313,向下,底分型,2026-01-16 11:35:00+00:00,87.5701227501662,False,,,,311,2026-01-16 11:35:00+00:00,87.5701227501662,False,True,已确认,"307,309 / 311 / 313",,,
54,311,318,NO_GAP,324,向上,顶分型,2026-01-16 22:10:00+00:00,113.11064916663504,False,,,,318,2026-01-16 22:10:00+00:00,113.11064916663504,False,True,已确认,"314,316 / 318,320,322 / 324",,,
55,318,327,NO_GAP,329,向下,底分型,2026-01-17 13:05:00+00:00,86.98373467516149,False,,,,327,2026-01-17 13:05:00+00:00,86.98373467516149,False,True,已确认,325 / 327 / 329,,,
56,327,332,NO_GAP,334,向上,顶分型,2026-01-17 19:20:00+00:00,112.67814352878682,False,,,,332,2026-01-17 19:20:00+00:00,112.67814352878682,False,True,已确认,330 / 332 / 334,,,
