笔序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,无包含K数,内部分型数,价差力度,涨跌幅,原始K起点,原始K终点,内部无包含K时间,内部分型
10,↓ 向下,2026-01-01 09:00:00+00:00,顶分型,110.04996753043196,2026-01-01 11:15:00+00:00,底分型,89.32242699416904,20,4,20.73,-0.1883,2026-01-01 08:55:00+00:00,2026-01-01 11:20:00+00:00,2026-01-01T08:55:00+00:00 | 2026-01-01T09:00:00+00:00 | 2026-01-01T09:05:00+00:00 | 2026-01-01T09:20:00+00:00 | 2026-01-01T09:25:00+00:00 | 2026-01-01T09:30:00+00:00 | 2026-01-01T09:35:00+00:00 | 2026-01-01T09:40:00+00:00 | 2026-01-01T10:05:00+00:00 | 2026-01-01T10:10:00+00:00 | 2026-01-01T10:20:00+00:00 | 2026-01-01T10:25:00+00:00 | 2026-01-01T10:30:00+00:00 | 2026-01-01T10:35:00+00:00 | 2026-01-01T10:40:00+00:00 | 2026-01-01T10:45:00+00:00 | 2026-01-01T11:00:00+00:00 | 2026-01-01T11:05:00+00:00 | 2026-01-01T11:15:00+00:00 | 2026-01-01T11:20:00+00:00,2026-01-01T09:00:00+00:00:G:110.04996753 | 2026-01-01T09:40:00+00:00:D:102.650535593 | 2026-01-01T10:05:00+00:00:G:108.62338787 | 2026-01-01T11:15:00+00:00:D:89.3224269942
11,↑ 向上,2026-01-01 11:15:00+00:00,底分型,89.32242699416904,2026-01-01 11:40:00+00:00,顶分型,96.92762435451456,6,2,7.61,0.0851,2026-01-01 11:05:00+00:00,2026-01-01 11:50:00+00:00,2026-01-01T11:05:00+00:00 | 2026-01-01T11:15:00+00:00 | 2026-01-01T11:20:00+00:00 | 2026-01-01T11:30:00+00:00 | 2026-01-01T11:40:00+00:00 | 2026-01-01T11:50:00+00:00,2026-01-01T11:15:00+00:00:D:89.3224269942 | 2026-01-01T11:40:00+00:00:G:96.9276243545
12,↓ 向下,2026-01-01 11:40:00+00:00,顶分型,96.92762435451456,2026-01-01 12:05:00+00:00,底分型,92.0764842983984,6,2,4.85,-0.05,2026-01-01 11:25:00+00:00,2026-01-01 12:15:00+00:00,2026-01-01T11:30:00+00:00 | 2026-01-01T11:40:00+00:00 | 2026-01-01T11:50:00+00:00 | 2026-01-01T12:00:00+00:00 | 2026-01-01T12:05:00+00:00 | 2026-01-01T12:15:00+00:00,2026-01-01T11:40:00+00:00:G:96.9276243545 | 2026-01-01T12:05:00+00:00:D:92.0764842984
13,↑ 向上,2026-01-01 12:05:00+00:00,底分型,92.0764842983984,2026-01-01 13:15:00+00:00,顶分型,110.70300877779218,12,2,18.63,0.2023,2026-01-01 11:55:00+00:00,2026-01-01 13:20:00+00:00,2026-01-01T12:00:00+00:00 | 2026-01-01T12:05:00+00:00 | 2026-01-01T12:25:00+00:00 | 2026-01-01T12:30:00+00:00 | 2026-01-01T12:35:00+00:00 | 2026-01-01T12:40:00+00:00 | 2026-01-01T12:45:00+00:00 | 2026-01-01T12:50:00+00:00 | 2026-01-01T13:05:00+00:00 | 2026-01-01T13:10:00+00:00 | 2026-01-01T13:15:00+00:00 | 2026-01-01T13:20:00+00:00,2026-01-01T12:05:00+00:00:D:92.0764842984 | 2026-01-01T13:15:00+00:00:G:110.703008778
14,↓ 向下,2026-01-01 13:15:00+00:00,顶分型,110.70300877779218,2026-01-01 15:20:00+00:00,底分型,88.48868487145315,20,4,22.21,-0.2007,2026-01-01 13:10:00+00:00,2026-01-01 15:25:00+00:00,2026-01-01T13:10:00+00:00 | 2026-01-01T13:15:00+00:00 | 2026-01-01T13:20:00+00:00 | 2026-01-01T13:25:00+00:00 | 2026-01-01T13:30:00+00:00 | 2026-01-01T13:35:00+00:00 | 2026-01-01T13:40:00+00:00 | 2026-01-01T13:45:00+00:00 | 2026-01-01T13:55:00+00:00 | 2026-01-01T14:25:00+00:00 | 2026-01-01T14:35:00+00:00 | 2026-01-01T14:45:00+00:00 | 2026-01-01T14:50:00+00:00 | 2026-01-01T14:55:00+00:00 | 2026-01-01T15:00:00+00:00 | 2026-01-01T15:05:00+00:00 | 2026-01-01T15:10:00+00:00 | 2026-01-01T15:15:00+00:00 | 2026-01-01T15:20:00+00:00 | 2026-01-01T15:25:00+00:00,2026-01-01T13:15:00+00:00:G:110.703008778 | 2026-01-01T13:55:00+00:00:D:102.978439817 | 2026-01-01T14:25:00+00:00:G:108.016405287 | 2026-01-01T15:20:00+00:00:D:88.4886848715
15,↑ 向上,2026-01-01 15:20:00+00:00,底分型,88.48868487145315,2026-01-01 16:05:00+00:00,顶分型,97.27854774450441,9,2,8.79,0.0993,2026-01-01 15:15:00+00:00,2026-01-01 16:15:00+00:00,2026-01-01T15:15:00+00:00 | 2026-01-01T15:20:00+00:00 | 2026-01-01T15:25:00+00:00 | 2026-01-01T15:35:00+00:00 | 2026-01-01T15:40:00+00:00 | 2026-01-01T15:45:00+00:00 | 2026-01-01T15:55:00+00:00 | 2026-01-01T16:05:00+00:00 | 2026-01-01T16:15:00+00:00,2026-01-01T15:20:00+00:00:D:88.4886848715 | 2026-01-01T16:05:00+00:00:G:97.2785477445
16,↓ 向下,2026-01-01 16:05:00+00:00,顶分型,97.27854774450441,2026-01-01 16:40:00+00:00,底分型,93.13273354608877,8,4,4.15,-0.0426,2026-01-01 15:55:00+00:00,2026-01-01 16:45:00+00:00,2026-01-01T15:55:00+00:00 | 2026-01-01T16:05:00+00:00 | 2026-01-01T16:15:00+00:00 | 2026-01-01T16:20:00+00:00 | 2026-01-01T16:25:00+00:00 | 2026-01-01T16:30:00+00:00 | 2026-01-01T16:40:00+00:00 | 2026-01-01T16:45:00+00:00,2026-01-01T16:05:00+00:00:G:97.2785477445 | 2026-01-01T16:25:00+00:00:D:93.5581720979 | 2026-01-01T16:30:00+00:00:G:95.955076009 | 2026-01-01T16:40:00+00:00:D:93.1327335461
17,↑ 向上,2026-01-01 16:40:00+00:00,底分型,93.13273354608877,2026-01-01 17:30:00+00:00,顶分型,111.4056493520864,12,2,18.27,0.1962,2026-01-01 16:30:00+00:00,2026-01-01 17:35:00+00:00,2026-01-01T16:30:00+00:00 | 2026-01-01T16:40:00+00:00 | 2026-01-01T16:45:00+00:00 | 2026-01-01T16:50:00+00:00 | 2026-01-01T16:55:00+00:00 | 2026-01-01T17:00:00+00:00 | 2026-01-01T17:05:00+00:00 | 2026-01-01T17:10:00+00:00 | 2026-01-01T17:15:00+00:00 | 2026-01-01T17:20:00+00:00 | 2026-01-01T17:30:00+00:00 | 2026-01-01T17:35:00+00:00,2026-01-01T16:40:00+00:00:D:93.1327335461 | 2026-01-01T17:30:00+00:00:G:111.405649352
18,↓ 向下,2026-01-01 17:30:00+00:00,顶分型,111.4056493520864,2026-01-01 18:00:00+00:00,底分型,102.29706340830454,8,4,9.11,-0.0818,2026-01-01 17:20:00+00:00,2026-01-01 18:10:00+00:00,2026-01-01T17:20:00+00:00 | 2026-01-01T17:30:00+00:00 | 2026-01-01T17:40:00+00:00 | 2026-01-01T17:45:00+00:00 | 2026-01-01T17:50:00+00:00 | 2026-01-01T17:55:00+00:00 | 2026-01-01T18:00:00+00:00 | 2026-01-01T18:10:00+00:00,2026-01-01T17:30:00+00:00:G:111.405649352 | 2026-01-01T17:50:00+00:00:D:105.121088799 | 2026-01-01T17:55:00+00:00:G:107.88860492 | 2026-01-01T18:00:00+00:00:D:102.297063408
19,↑ 向上,2026-01-01 18:00:00+00:00,底分型,102.29706340830454,2026-01-01 18:35:00+00:00,顶分型,107.06845072486294,8,4,4.77,0.0466,2026-01-01 17:55:00+00:00,2026-01-01 18:40:00+00:00,2026-01-01T17:55:00+00:00 | 2026-01-01T18:00:00+00:00 | 2026-01-01T18:10:00+00:00 | 2026-01-01T18:20:00+00:00 | 2026-01-01T18:25:00+00:00 | 2026-01-01T18:30:00+00:00 | 2026-01-01T18:35:00+00:00 | 2026-01-01T18:40:00+00:00,2026-01-01T18:00:00+00:00:D:102.297063408 | 2026-01-01T18:10:00+00:00:G:106.069726173 | 2026-01-01T18:20:00+00:00:D:102.375857763 | 2026-01-01T18:35:00+00:00:G:107.068450725
20,↓ 向下,2026-01-01 18:35:00+00:00,顶分型,107.06845072486294,2026-01-01 19:35:00+00:00,底分型,88.6365448331546,14,4,18.43,-0.1722,2026-01-01 18:30:00+00:00,2026-01-01 19:45:00+00:00,2026-01-01T18:30:00+00:00 | 2026-01-01T18:35:00+00:00 | 2026-01-01T18:45:00+00:00 | 2026-01-01T18:50:00+00:00 | 2026-01-01T18:55:00+00:00 | 2026-01-01T19:00:00+00:00 | 2026-01-01T19:05:00+00:00 | 2026-01-01T19:10:00+00:00 | 2026-01-01T19:15:00+00:00 | 2026-01-01T19:20:00+00:00 | 2026-01-01T19:25:00+00:00 | 2026-01-01T19:30:00+00:00 | 2026-01-01T19:35:00+00:00 | 2026-01-01T19:45:00+00:00,2026-01-01T18:35:00+00:00:G:107.068450725 | 2026-01-01T19:25:00+00:00:D:89.8013731434 | 2026-01-01T19:30:00+00:00:G:92.245161424 | 2026-01-01T19:35:00+00:00:D:88.6365448332
21,↑ 向上,2026-01-01 19:35:00+00:00,底分型,88.6365448331546,2026-01-01 20:25:00+00:00,顶分型,97.94794724973201,7,2,9.31,0.1051,2026-01-01 19:30:00+00:00,2026-01-01 20:30:00+00:00,2026-01-01T19:30:00+00:00 | 2026-01-01T19:35:00+00:00 | 2026-01-01T19:45:00+00:00 | 2026-01-01T20:00:00+00:00 | 2026-01-01T20:10:00+00:00 | 2026-01-01T20:25:00+00:00 | 2026-01-01T20:30:00+00:00,2026-01-01T19:35:00+00:00:D:88.6365448332 | 2026-01-01T20:25:00+00:00:G:97.9479472497
22,↓ 向下,2026-01-01 20:25:00+00:00,顶分型,97.94794724973201,2026-01-01 20:45:00+00:00,底分型,92.7786512969366,6,2,5.17,-0.0528,2026-01-01 20:10:00+00:00,2026-01-01 20:50:00+00:00,2026-01-01T20:10:00+00:00 | 2026-01-01T20:25:00+00:00 | 2026-01-01T20:30:00+00:00 | 2026-01-01T20:35:00+00:00 | 2026-01-01T20:45:00+00:00 | 2026-01-01T20:50:00+00:00,2026-01-01T20:25:00+00:00:G:97.9479472497 | 2026-01-01T20:45:00+00:00:D:92.7786512969
23,↑ 向上,2026-01-01 20:45:00+00:00,底分型,92.7786512969366,2026-01-01 21:40:00+00:00,顶分型,111.36058495155504,12,2,18.58,0.2003,2026-01-01 20:35:00+00:00,2026-01-01 21:50:00+00:00,2026-01-01T20:35:00+00:00 | 2026-01-01T20:45:00+00:00 | 2026-01-01T20:50:00+00:00 | 2026-01-01T20:55:00+00:00 | 2026-01-01T21:00:00+00:00 | 2026-01-01T21:05:00+00:00 | 2026-01-01T21:10:00+00:00 | 2026-01-01T21:15:00+00:00 | 2026-01-01T21:20:00+00:00 | 2026-01-01T21:35:00+00:00 | 2026-01-01T21:40:00+00:00 | 2026-01-01T21:50:00+00:00,2026-01-01T20:45:00+00:00:D:92.7786512969 | 2026-01-01T21:40:00+00:00:G:111.360584952
24,↓ 向下,2026-01-01 21:40:00+00:00,顶分型,111.36058495155504,2026-01-01 23:55:00+00:00,底分型,87.98510805198188,21,6,23.38,-0.2099,2026-01-01 21:25:00+00:00,2026-01-02 00:00:00+00:00,2026-01-01T21:35:00+00:00 | 2026-01-01T21:40:00+00:00 | 2026-01-01T21:50:00+00:00 | 2026-01-01T22:00:00+00:00 | 2026-01-01T22:05:00+00:00 | 2026-01-01T22:15:00+00:00 | 2026-01-01T22:25:00+00:00 | 2026-01-01T22:30:00+00:00 | 2026-01-01T22:35:00+00:00 | 2026-01-01T22:45:00+00:00 | 2026-01-01T22:55:00+00:00 | 2026-01-01T23:05:00+00:00 | 2026-01-01T23:10:00+00:00 | 2026-01-01T23:20:00+00:00 | 2026-01-01T23:25:00+00:00 | 2026-01-01T23:30:00+00:00 | 2026-01-01T23:35:00+00:00 | 2026-01-01T23:40:00+00:00 | 2026-01-01T23:50:00+00:00 | 2026-01-01T23:55:00+00:00 | 2026-01-02T00:00:00+00:00,2026-01-01T21:40:00+00:00:G:111.360584952 | 2026-01-01T22:30:00+00:00:D:102.080261079 | 2026-01-01T22:35:00+00:00:G:106.992367057 | 2026-01-01T22:45:00+00:00:D:102.50631263 | 2026-01-01T22:55:00+00:00:G:105.461008002 | 2026-01-01T23:55:00+00:00:D:87.985108052
25,↑ 向上,2026-01-01 23:55:00+00:00,底分型,87.98510805198188,2026-01-02 02:00:00+00:00,顶分型,111.24674494270633,19,4,23.26,0.2644,2026-01-01 23:45:00+00:00,2026-01-02 02:05:00+00:00,2026-01-01T23:50:00+00:00 | 2026-01-01T23:55:00+00:00 | 2026-01-02T00:00:00+00:00 | 2026-01-02T00:10:00+00:00 | 2026-01-02T00:15:00+00:00 | 2026-01-02T00:20:00+00:00 | 2026-01-02T00:35:00+00:00 | 2026-01-02T00:45:00+00:00 | 2026-01-02T00:50:00+00:00 | 2026-01-02T01:00:00+00:00 | 2026-01-02T01:05:00+00:00 | 2026-01-02T01:15:00+00:00 | 2026-01-02T01:20:00+00:00 | 2026-01-02T01:25:00+00:00 | 2026-01-02T01:30:00+00:00 | 2026-01-02T01:35:00+00:00 | 2026-01-02T01:50:00+00:00 | 2026-01-02T02:00:00+00:00 | 2026-01-02T02:05:00+00:00,2026-01-01T23:55:00+00:00:D:87.985108052 | 2026-01-02T00:35:00+00:00:G:98.1621757604 | 2026-01-02T00:50:00+00:00:D:93.7927663933 | 2026-01-02T02:00:00+00:00:G:111.246744943
26,↓ 向下,2026-01-02 02:00:00+00:00,顶分型,111.24674494270633,2026-01-02 04:00:00+00:00,底分型,88.31545788263514,21,4,22.93,-0.2061,2026-01-02 01:40:00+00:00,2026-01-02 04:10:00+00:00,2026-01-02T01:50:00+00:00 | 2026-01-02T02:00:00+00:00 | 2026-01-02T02:10:00+00:00 | 2026-01-02T02:15:00+00:00 | 2026-01-02T02:20:00+00:00 | 2026-01-02T02:25:00+00:00 | 2026-01-02T02:35:00+00:00 | 2026-01-02T02:40:00+00:00 | 2026-01-02T02:50:00+00:00 | 2026-01-02T02:55:00+00:00 | 2026-01-02T03:10:00+00:00 | 2026-01-02T03:15:00+00:00 | 2026-01-02T03:25:00+00:00 | 2026-01-02T03:30:00+00:00 | 2026-01-02T03:35:00+00:00 | 2026-01-02T03:40:00+00:00 | 2026-01-02T03:45:00+00:00 | 2026-01-02T03:50:00+00:00 | 2026-01-02T03:55:00+00:00 | 2026-01-02T04:00:00+00:00 | 2026-01-02T04:10:00+00:00,2026-01-02T02:00:00+00:00:G:111.246744943 | 2026-01-02T02:40:00+00:00:D:101.389557907 | 2026-01-02T02:55:00+00:00:G:105.641367662 | 2026-01-02T04:00:00+00:00:D:88.3154578826
27,↑ 向上,2026-01-02 04:00:00+00:00,底分型,88.31545788263514,2026-01-02 06:05:00+00:00,顶分型,111.57148496409079,22,4,23.26,0.2633,2026-01-02 03:55:00+00:00,2026-01-02 06:10:00+00:00,2026-01-02T03:55:00+00:00 | 2026-01-02T04:00:00+00:00 | 2026-01-02T04:10:00+00:00 | 2026-01-02T04:15:00+00:00 | 2026-01-02T04:30:00+00:00 | 2026-01-02T04:40:00+00:00 | 2026-01-02T04:45:00+00:00 | 2026-01-02T04:50:00+00:00 | 2026-01-02T04:55:00+00:00 | 2026-01-02T05:00:00+00:00 | 2026-01-02T05:05:00+00:00 | 2026-01-02T05:15:00+00:00 | 2026-01-02T05:25:00+00:00 | 2026-01-02T05:30:00+00:00 | 2026-01-02T05:35:00+00:00 | 2026-01-02T05:40:00+00:00 | 2026-01-02T05:45:00+00:00 | 2026-01-02T05:50:00+00:00 | 2026-01-02T05:55:00+00:00 | 2026-01-02T06:00:00+00:00 | 2026-01-02T06:05:00+00:00 | 2026-01-02T06:10:00+00:00,2026-01-02T04:00:00+00:00:D:88.3154578826 | 2026-01-02T04:50:00+00:00:G:98.112704881 | 2026-01-02T05:00:00+00:00:D:93.5657790576 | 2026-01-02T06:05:00+00:00:G:111.571484964
28,↓ 向下,2026-01-02 06:05:00+00:00,顶分型,111.57148496409079,2026-01-02 08:25:00+00:00,底分型,87.72717662566545,26,6,23.84,-0.2137,2026-01-02 06:00:00+00:00,2026-01-02 08:30:00+00:00,2026-01-02T06:00:00+00:00 | 2026-01-02T06:05:00+00:00 | 2026-01-02T06:10:00+00:00 | 2026-01-02T06:20:00+00:00 | 2026-01-02T06:25:00+00:00 | 2026-01-02T06:30:00+00:00 | 2026-01-02T06:35:00+00:00 | 2026-01-02T06:40:00+00:00 | 2026-01-02T06:45:00+00:00 | 2026-01-02T06:55:00+00:00 | 2026-01-02T07:00:00+00:00 | 2026-01-02T07:05:00+00:00 | 2026-01-02T07:10:00+00:00 | 2026-01-02T07:15:00+00:00 | 2026-01-02T07:30:00+00:00 | 2026-01-02T07:35:00+00:00 | 2026-01-02T07:40:00+00:00 | 2026-01-02T07:45:00+00:00 | 2026-01-02T07:50:00+00:00 | 2026-01-02T07:55:00+00:00 | 2026-01-02T08:00:00+00:00 | 2026-01-02T08:05:00+00:00 | 2026-01-02T08:10:00+00:00 | 2026-01-02T08:20:00+00:00 | 2026-01-02T08:25:00+00:00 | 2026-01-02T08:30:00+00:00,2026-01-02T06:05:00+00:00:G:111.571484964 | 2026-01-02T07:00:00+00:00:D:101.781424701 | 2026-01-02T07:05:00+00:00:G:104.613257907 | 2026-01-02T07:10:00+00:00:D:102.063814015 | 2026-01-02T07:15:00+00:00:G:104.323785414 | 2026-01-02T08:25:00+00:00:D:87.7271766257
29,↑ 向上,2026-01-02 08:25:00+00:00,底分型,87.72717662566545,2026-01-02 10:25:00+00:00,顶分型,112.71101170631997,20,4,24.98,0.2848,2026-01-02 08:15:00+00:00,2026-01-02 10:30:00+00:00,2026-01-02T08:20:00+00:00 | 2026-01-02T08:25:00+00:00 | 2026-01-02T08:30:00+00:00 | 2026-01-02T08:35:00+00:00 | 2026-01-02T08:40:00+00:00 | 2026-01-02T08:45:00+00:00 | 2026-01-02T08:50:00+00:00 | 2026-01-02T08:55:00+00:00 | 2026-01-02T09:10:00+00:00 | 2026-01-02T09:25:00+00:00 | 2026-01-02T09:30:00+00:00 | 2026-01-02T09:40:00+00:00 | 2026-01-02T09:45:00+00:00 | 2026-01-02T09:50:00+00:00 | 2026-01-02T09:55:00+00:00 | 2026-01-02T10:00:00+00:00 | 2026-01-02T10:05:00+00:00 | 2026-01-02T10:10:00+00:00 | 2026-01-02T10:25:00+00:00 | 2026-01-02T10:30:00+00:00,2026-01-02T08:25:00+00:00:D:87.7271766257 | 2026-01-02T09:10:00+00:00:G:98.5759709979 | 2026-01-02T09:25:00+00:00:D:94.9067151027 | 2026-01-02T10:25:00+00:00:G:112.711011706
