待识别线段方向,分型类型,候选端点笔位置,候选端点时间,候选端点价格,第一元素笔位置,第二元素笔位置,第三元素笔位置,第一二元素有缺口,真实突破,真实突破状态,确认观察至笔位置
向上,顶分型,204,2026-01-11 07:55:00+00:00,110.54003910558671,202,204,206,True,True,已确认,206
向下,底分型,213,2026-01-11 18:25:00+00:00,87.7490295629529,209 | 211,213,215,False,True,已确认,215
向上,顶分型,224,2026-01-12 09:15:00+00:00,112.708175080453,214,216 | 218 | 220 | 222 | 224,226,False,True,已确认,226
向下,底分型,229,2026-01-12 19:45:00+00:00,87.00406698675793,227,229 | 231 | 233,235,False,True,已确认,235
向上,顶分型,236,2026-01-13 06:25:00+00:00,113.01246789158424,232 | 234,236 | 238 | 240,242,False,True,已确认,242
向下,底分型,243,2026-01-13 16:50:00+00:00,87.79254955991993,241,243,245,False,True,已确认,245
向上,顶分型,246,2026-01-13 19:00:00+00:00,112.65145456666403,244,246 | 248 | 250 | 252,254,False,True,已确认,254
向下,底分型,255,2026-01-14 09:50:00+00:00,88.65825947904035,253,255,257,False,True,已确认,257
向上,顶分型,258,2026-01-14 12:00:00+00:00,110.54883416216087,256,258,260,False,True,已确认,260
向下,底分型,261,2026-01-14 14:10:00+00:00,88.87646074428991,259,261,263,False,True,已确认,263
向上,顶分型,264,2026-01-14 16:10:00+00:00,110.59159920432657,262,264 | 266,268,False,True,已确认,268
向下,底分型,269,2026-01-14 22:25:00+00:00,90.50241512504655,267,269,271,False,True,已确认,271
向上,顶分型,272,2026-01-15 00:50:00+00:00,110.1892086671768,270,272 | 274,276,False,True,已确认,276
向下,底分型,277,2026-01-15 05:55:00+00:00,89.62247220897916,275,277,279,True,True,已确认,279
向上,顶分型,280,2026-01-15 07:50:00+00:00,109.09600864281691,278,280,282,True,True,已确认,282
向下,底分型,283,2026-01-15 10:10:00+00:00,89.98405573556515,281,283 | 285 | 287,289,True,True,已确认,289
向上,顶分型,290,2026-01-15 16:25:00+00:00,110.54848436717462,286 | 288,290,292,False,True,已确认,292
向下,底分型,293,2026-01-15 18:45:00+00:00,89.59522796657207,291,293,295,True,True,已确认,295
向上,顶分型,300,2026-01-16 00:50:00+00:00,111.5349572358613,296 | 298,300,302,False,True,已确认,302
向下,底分型,303,2026-01-16 03:10:00+00:00,88.27700274265626,301,303 | 305,307,True,True,已确认,307
向上,顶分型,308,2026-01-16 09:20:00+00:00,111.3977234276886,306,308,310,True,True,已确认,310
向下,底分型,311,2026-01-16 11:35:00+00:00,87.5701227501662,309,311,313,False,True,已确认,313
向上,顶分型,318,2026-01-16 22:10:00+00:00,113.11064916663504,312,314 | 316 | 318,320,False,False,已否定,322
向上,顶分型,318,2026-01-16 22:10:00+00:00,113.11064916663504,314 | 316,318 | 320 | 322,324,False,True,已确认,324
向下,底分型,327,2026-01-17 13:05:00+00:00,86.98373467516149,325,327,329,False,True,已确认,329
向上,顶分型,332,2026-01-17 19:20:00+00:00,112.67814352878682,330,332,334,False,True,已确认,334
向下,底分型,335,2026-01-18 01:35:00+00:00,86.90753177610257,333,335,337,False,True,已确认,337
