线段序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,内部笔数,确认方式,初始主特征分型有缺口,端点是否迁移,确认发生笔位置,价差力度,涨跌幅,原始K起点,原始K终点,内部笔序号,内部笔端点
13,↓ 向下,2026-01-05 10:15:00+00:00,顶分型,110.75438145810709,2026-01-05 16:25:00+00:00,底分型,90.39620611770233,5,NO_GAP,False,False,87,20.36,-0.1838,2026-01-05 10:05:00+00:00,2026-01-05 16:30:00+00:00,80 | 81 | 82 | 83 | 84,2026-01-05T10:15:00+00:00->2026-01-05T12:15:00+00:00 | 2026-01-05T12:15:00+00:00->2026-01-05T13:30:00+00:00 | 2026-01-05T13:30:00+00:00->2026-01-05T13:50:00+00:00 | 2026-01-05T13:50:00+00:00->2026-01-05T14:25:00+00:00 | 2026-01-05T14:25:00+00:00->2026-01-05T16:25:00+00:00
14,↑ 向上,2026-01-05 16:25:00+00:00,底分型,90.39620611770233,2026-01-05 18:50:00+00:00,顶分型,109.58597942759285,3,NO_GAP,False,False,90,19.19,0.2123,2026-01-05 16:20:00+00:00,2026-01-05 18:55:00+00:00,85 | 86 | 87,2026-01-05T16:25:00+00:00->2026-01-05T17:45:00+00:00 | 2026-01-05T17:45:00+00:00->2026-01-05T18:15:00+00:00 | 2026-01-05T18:15:00+00:00->2026-01-05T18:50:00+00:00
15,↓ 向下,2026-01-05 18:50:00+00:00,顶分型,109.58597942759285,2026-01-06 00:05:00+00:00,底分型,89.8845761521106,7,NO_GAP,False,False,97,19.7,-0.1798,2026-01-05 18:40:00+00:00,2026-01-06 00:10:00+00:00,88 | 89 | 90 | 91 | 92 | 93 | 94,2026-01-05T18:50:00+00:00->2026-01-05T19:50:00+00:00 | 2026-01-05T19:50:00+00:00->2026-01-05T20:10:00+00:00 | 2026-01-05T20:10:00+00:00->2026-01-05T20:50:00+00:00 | 2026-01-05T20:50:00+00:00->2026-01-05T21:55:00+00:00 | 2026-01-05T21:55:00+00:00->2026-01-05T22:35:00+00:00 | 2026-01-05T22:35:00+00:00->2026-01-05T22:50:00+00:00 | 2026-01-05T22:50:00+00:00->2026-01-06T00:05:00+00:00
16,↑ 向上,2026-01-06 00:05:00+00:00,底分型,89.8845761521106,2026-01-06 10:30:00+00:00,顶分型,111.40991252945928,9,NO_GAP,False,False,106,21.53,0.2395,2026-01-05 23:50:00+00:00,2026-01-06 10:40:00+00:00,95 | 96 | 97 | 98 | 99 | 100 | 101 | 102 | 103,2026-01-06T00:05:00+00:00->2026-01-06T00:30:00+00:00 | 2026-01-06T00:30:00+00:00->2026-01-06T01:05:00+00:00 | 2026-01-06T01:05:00+00:00->2026-01-06T02:10:00+00:00 | 2026-01-06T02:10:00+00:00->2026-01-06T04:10:00+00:00 | 2026-01-06T04:10:00+00:00->2026-01-06T04:50:00+00:00 | 2026-01-06T04:50:00+00:00->2026-01-06T05:25:00+00:00 | 2026-01-06T05:25:00+00:00->2026-01-06T06:25:00+00:00 | 2026-01-06T06:25:00+00:00->2026-01-06T08:30:00+00:00 | 2026-01-06T08:30:00+00:00->2026-01-06T10:30:00+00:00
17,↓ 向下,2026-01-06 10:30:00+00:00,顶分型,111.40991252945928,2026-01-07 01:20:00+00:00,底分型,87.59925675269392,11,GAP_REVERSE_FRACTAL,True,True,122,23.81,-0.2137,2026-01-06 10:25:00+00:00,2026-01-07 01:25:00+00:00,104 | 105 | 106 | 107 | 108 | 109 | 110 | 111 | 112 | 113 | 114,2026-01-06T10:30:00+00:00->2026-01-06T11:20:00+00:00 | 2026-01-06T11:20:00+00:00->2026-01-06T11:40:00+00:00 | 2026-01-06T11:40:00+00:00->2026-01-06T12:45:00+00:00 | 2026-01-06T12:45:00+00:00->2026-01-06T13:20:00+00:00 | 2026-01-06T13:20:00+00:00->2026-01-06T13:40:00+00:00 | 2026-01-06T13:40:00+00:00->2026-01-06T14:55:00+00:00 | 2026-01-06T14:55:00+00:00->2026-01-06T17:00:00+00:00 | 2026-01-06T17:00:00+00:00->2026-01-06T19:05:00+00:00 | 2026-01-06T19:05:00+00:00->2026-01-06T21:20:00+00:00 | 2026-01-06T21:20:00+00:00->2026-01-06T23:15:00+00:00 | 2026-01-06T23:15:00+00:00->2026-01-07T01:20:00+00:00
18,↑ 向上,2026-01-07 01:20:00+00:00,底分型,87.59925675269392,2026-01-07 20:25:00+00:00,顶分型,112.85866737381562,13,GAP_REVERSE_FRACTAL,True,True,137,25.26,0.2884,2026-01-07 01:15:00+00:00,2026-01-07 20:30:00+00:00,115 | 116 | 117 | 118 | 119 | 120 | 121 | 122 | 123 | 124 | 125 | 126 | 127,2026-01-07T01:20:00+00:00->2026-01-07T03:30:00+00:00 | 2026-01-07T03:30:00+00:00->2026-01-07T05:40:00+00:00 | 2026-01-07T05:40:00+00:00->2026-01-07T06:20:00+00:00 | 2026-01-07T06:20:00+00:00->2026-01-07T06:40:00+00:00 | 2026-01-07T06:40:00+00:00->2026-01-07T07:35:00+00:00 | 2026-01-07T07:35:00+00:00->2026-01-07T08:40:00+00:00 | 2026-01-07T08:40:00+00:00->2026-01-07T09:00:00+00:00 | 2026-01-07T09:00:00+00:00->2026-01-07T09:50:00+00:00 | 2026-01-07T09:50:00+00:00->2026-01-07T12:00:00+00:00 | 2026-01-07T12:00:00+00:00->2026-01-07T14:05:00+00:00 | 2026-01-07T14:05:00+00:00->2026-01-07T16:05:00+00:00 | 2026-01-07T16:05:00+00:00->2026-01-07T18:10:00+00:00 | 2026-01-07T18:10:00+00:00->2026-01-07T20:25:00+00:00
19,↓ 向下,2026-01-07 20:25:00+00:00,顶分型,112.85866737381562,2026-01-08 02:45:00+00:00,底分型,87.1809765505783,7,NO_GAP,False,False,137,25.68,-0.2275,2026-01-07 20:05:00+00:00,2026-01-08 02:50:00+00:00,128 | 129 | 130 | 131 | 132 | 133 | 134,2026-01-07T20:25:00+00:00->2026-01-07T21:15:00+00:00 | 2026-01-07T21:15:00+00:00->2026-01-07T21:40:00+00:00 | 2026-01-07T21:40:00+00:00->2026-01-07T22:20:00+00:00 | 2026-01-07T22:20:00+00:00->2026-01-08T00:35:00+00:00 | 2026-01-08T00:35:00+00:00->2026-01-08T01:25:00+00:00 | 2026-01-08T01:25:00+00:00->2026-01-08T01:40:00+00:00 | 2026-01-08T01:40:00+00:00->2026-01-08T02:45:00+00:00
20,↑ 向上,2026-01-08 02:45:00+00:00,底分型,87.1809765505783,2026-01-08 04:50:00+00:00,顶分型,113.57894951849332,3,NO_GAP,False,False,142,26.4,0.3028,2026-01-08 02:35:00+00:00,2026-01-08 05:00:00+00:00,135 | 136 | 137,2026-01-08T02:45:00+00:00->2026-01-08T03:35:00+00:00 | 2026-01-08T03:35:00+00:00->2026-01-08T03:50:00+00:00 | 2026-01-08T03:50:00+00:00->2026-01-08T04:50:00+00:00
21,↓ 向下,2026-01-08 04:50:00+00:00,顶分型,113.57894951849332,2026-01-08 19:45:00+00:00,底分型,87.27018566434882,7,NO_GAP,False,False,149,26.31,-0.2316,2026-01-08 04:45:00+00:00,2026-01-08 19:50:00+00:00,138 | 139 | 140 | 141 | 142 | 143 | 144,2026-01-08T04:50:00+00:00->2026-01-08T06:55:00+00:00 | 2026-01-08T06:55:00+00:00->2026-01-08T09:05:00+00:00 | 2026-01-08T09:05:00+00:00->2026-01-08T11:10:00+00:00 | 2026-01-08T11:10:00+00:00->2026-01-08T13:20:00+00:00 | 2026-01-08T13:20:00+00:00->2026-01-08T15:20:00+00:00 | 2026-01-08T15:20:00+00:00->2026-01-08T17:25:00+00:00 | 2026-01-08T17:25:00+00:00->2026-01-08T19:45:00+00:00
22,↑ 向上,2026-01-08 19:45:00+00:00,底分型,87.27018566434882,2026-01-09 02:00:00+00:00,顶分型,112.67400167821718,5,NO_GAP,False,False,152,25.4,0.2911,2026-01-08 19:35:00+00:00,2026-01-09 02:05:00+00:00,145 | 146 | 147 | 148 | 149,2026-01-08T19:45:00+00:00->2026-01-08T21:45:00+00:00 | 2026-01-08T21:45:00+00:00->2026-01-08T22:45:00+00:00 | 2026-01-08T22:45:00+00:00->2026-01-08T23:05:00+00:00 | 2026-01-08T23:05:00+00:00->2026-01-09T00:00:00+00:00 | 2026-01-09T00:00:00+00:00->2026-01-09T02:00:00+00:00
23,↓ 向下,2026-01-09 02:00:00+00:00,顶分型,112.67400167821718,2026-01-09 08:15:00+00:00,底分型,87.6928949866896,3,NO_GAP,False,False,155,24.98,-0.2217,2026-01-09 01:55:00+00:00,2026-01-09 08:20:00+00:00,150 | 151 | 152,2026-01-09T02:00:00+00:00->2026-01-09T04:05:00+00:00 | 2026-01-09T04:05:00+00:00->2026-01-09T06:10:00+00:00 | 2026-01-09T06:10:00+00:00->2026-01-09T08:15:00+00:00
24,↑ 向上,2026-01-09 08:15:00+00:00,底分型,87.6928949866896,2026-01-09 10:25:00+00:00,顶分型,112.1945857049187,3,NO_GAP,False,False,160,24.5,0.2794,2026-01-09 08:10:00+00:00,2026-01-09 10:30:00+00:00,153 | 154 | 155,2026-01-09T08:15:00+00:00->2026-01-09T09:25:00+00:00 | 2026-01-09T09:25:00+00:00->2026-01-09T09:45:00+00:00 | 2026-01-09T09:45:00+00:00->2026-01-09T10:25:00+00:00
25,↓ 向下,2026-01-09 10:25:00+00:00,顶分型,112.1945857049187,2026-01-09 16:50:00+00:00,底分型,88.63759524006669,7,GAP_REVERSE_FRACTAL,True,False,170,23.56,-0.21,2026-01-09 10:20:00+00:00,2026-01-09 16:55:00+00:00,156 | 157 | 158 | 159 | 160 | 161 | 162,2026-01-09T10:25:00+00:00->2026-01-09T12:35:00+00:00 | 2026-01-09T12:35:00+00:00->2026-01-09T13:40:00+00:00 | 2026-01-09T13:40:00+00:00->2026-01-09T14:00:00+00:00 | 2026-01-09T14:00:00+00:00->2026-01-09T14:45:00+00:00 | 2026-01-09T14:45:00+00:00->2026-01-09T15:35:00+00:00 | 2026-01-09T15:35:00+00:00->2026-01-09T16:00:00+00:00 | 2026-01-09T16:00:00+00:00->2026-01-09T16:50:00+00:00
26,↑ 向上,2026-01-09 16:50:00+00:00,底分型,88.63759524006669,2026-01-09 18:50:00+00:00,顶分型,110.93013363789335,3,NO_GAP,False,False,170,22.29,0.2515,2026-01-09 16:45:00+00:00,2026-01-09 18:55:00+00:00,163 | 164 | 165,2026-01-09T16:50:00+00:00->2026-01-09T17:45:00+00:00 | 2026-01-09T17:45:00+00:00->2026-01-09T18:20:00+00:00 | 2026-01-09T18:20:00+00:00->2026-01-09T18:50:00+00:00
27,↓ 向下,2026-01-09 18:50:00+00:00,顶分型,110.93013363789335,2026-01-10 01:10:00+00:00,底分型,89.81629781092089,5,NO_GAP,False,False,173,21.11,-0.1903,2026-01-09 18:45:00+00:00,2026-01-10 01:15:00+00:00,166 | 167 | 168 | 169 | 170,2026-01-09T18:50:00+00:00->2026-01-09T21:05:00+00:00 | 2026-01-09T21:05:00+00:00->2026-01-09T23:00:00+00:00 | 2026-01-09T23:00:00+00:00->2026-01-10T00:15:00+00:00 | 2026-01-10T00:15:00+00:00->2026-01-10T00:35:00+00:00 | 2026-01-10T00:35:00+00:00->2026-01-10T01:10:00+00:00
28,↑ 向上,2026-01-10 01:10:00+00:00,底分型,89.81629781092089,2026-01-10 03:20:00+00:00,顶分型,110.64496669308403,3,NO_GAP,False,False,176,20.83,0.2319,2026-01-10 01:05:00+00:00,2026-01-10 03:25:00+00:00,171 | 172 | 173,2026-01-10T01:10:00+00:00->2026-01-10T02:10:00+00:00 | 2026-01-10T02:10:00+00:00->2026-01-10T02:45:00+00:00 | 2026-01-10T02:45:00+00:00->2026-01-10T03:20:00+00:00
29,↓ 向下,2026-01-10 03:20:00+00:00,顶分型,110.64496669308403,2026-01-10 13:00:00+00:00,底分型,89.96549396857695,9,NO_GAP,False,False,185,20.68,-0.1869,2026-01-10 03:15:00+00:00,2026-01-10 13:05:00+00:00,174 | 175 | 176 | 177 | 178 | 179 | 180 | 181 | 182,2026-01-10T03:20:00+00:00->2026-01-10T04:20:00+00:00 | 2026-01-10T04:20:00+00:00->2026-01-10T04:50:00+00:00 | 2026-01-10T04:50:00+00:00->2026-01-10T05:35:00+00:00 | 2026-01-10T05:35:00+00:00->2026-01-10T07:40:00+00:00 | 2026-01-10T07:40:00+00:00->2026-01-10T08:35:00+00:00 | 2026-01-10T08:35:00+00:00->2026-01-10T10:45:00+00:00 | 2026-01-10T10:45:00+00:00->2026-01-10T11:20:00+00:00 | 2026-01-10T11:20:00+00:00->2026-01-10T11:40:00+00:00 | 2026-01-10T11:40:00+00:00->2026-01-10T13:00:00+00:00
30,↑ 向上,2026-01-10 13:00:00+00:00,底分型,89.96549396857695,2026-01-10 23:25:00+00:00,顶分型,111.34127538063434,9,NO_GAP,False,False,194,21.38,0.2376,2026-01-10 12:35:00+00:00,2026-01-10 23:30:00+00:00,183 | 184 | 185 | 186 | 187 | 188 | 189 | 190 | 191,2026-01-10T13:00:00+00:00->2026-01-10T13:25:00+00:00 | 2026-01-10T13:25:00+00:00->2026-01-10T13:55:00+00:00 | 2026-01-10T13:55:00+00:00->2026-01-10T15:10:00+00:00 | 2026-01-10T15:10:00+00:00->2026-01-10T17:05:00+00:00 | 2026-01-10T17:05:00+00:00->2026-01-10T17:45:00+00:00 | 2026-01-10T17:45:00+00:00->2026-01-10T18:10:00+00:00 | 2026-01-10T18:10:00+00:00->2026-01-10T19:15:00+00:00 | 2026-01-10T19:15:00+00:00->2026-01-10T21:15:00+00:00 | 2026-01-10T21:15:00+00:00->2026-01-10T23:25:00+00:00
31,↓ 向下,2026-01-10 23:25:00+00:00,顶分型,111.34127538063434,2026-01-11 01:35:00+00:00,底分型,89.37563517638253,3,GAP_REVERSE_FRACTAL,True,False,200,21.97,-0.1973,2026-01-10 23:20:00+00:00,2026-01-11 01:45:00+00:00,192 | 193 | 194,2026-01-10T23:25:00+00:00->2026-01-11T00:05:00+00:00 | 2026-01-11T00:05:00+00:00->2026-01-11T00:25:00+00:00 | 2026-01-11T00:25:00+00:00->2026-01-11T01:35:00+00:00
32,↑ 向上,2026-01-11 01:35:00+00:00,底分型,89.37563517638253,2026-01-11 03:35:00+00:00,顶分型,111.55808245222487,3,GAP_REVERSE_FRACTAL,True,False,203,22.18,0.2482,2026-01-11 01:25:00+00:00,2026-01-11 03:45:00+00:00,195 | 196 | 197,2026-01-11T01:35:00+00:00->2026-01-11T02:05:00+00:00 | 2026-01-11T02:05:00+00:00->2026-01-11T02:35:00+00:00 | 2026-01-11T02:35:00+00:00->2026-01-11T03:35:00+00:00
33,↓ 向下,2026-01-11 03:35:00+00:00,顶分型,111.55808245222487,2026-01-11 05:50:00+00:00,底分型,88.22927230323205,3,GAP_REVERSE_FRACTAL,True,False,206,23.33,-0.2091,2026-01-11 03:30:00+00:00,2026-01-11 05:55:00+00:00,198 | 199 | 200,2026-01-11T03:35:00+00:00->2026-01-11T04:20:00+00:00 | 2026-01-11T04:20:00+00:00->2026-01-11T04:50:00+00:00 | 2026-01-11T04:50:00+00:00->2026-01-11T05:50:00+00:00
34,↑ 向上,2026-01-11 05:50:00+00:00,底分型,88.22927230323205,2026-01-11 16:25:00+00:00,顶分型,111.99146658364309,9,GAP_REVERSE_FRACTAL,True,True,215,23.76,0.2693,2026-01-11 05:35:00+00:00,2026-01-11 16:30:00+00:00,201 | 202 | 203 | 204 | 205 | 206 | 207 | 208 | 209,2026-01-11T05:50:00+00:00->2026-01-11T06:30:00+00:00 | 2026-01-11T06:30:00+00:00->2026-01-11T06:45:00+00:00 | 2026-01-11T06:45:00+00:00->2026-01-11T07:55:00+00:00 | 2026-01-11T07:55:00+00:00->2026-01-11T08:35:00+00:00 | 2026-01-11T08:35:00+00:00->2026-01-11T08:50:00+00:00 | 2026-01-11T08:50:00+00:00->2026-01-11T10:05:00+00:00 | 2026-01-11T10:05:00+00:00->2026-01-11T12:05:00+00:00 | 2026-01-11T12:05:00+00:00->2026-01-11T14:15:00+00:00 | 2026-01-11T14:15:00+00:00->2026-01-11T16:25:00+00:00
35,↓ 向下,2026-01-11 16:25:00+00:00,顶分型,111.99146658364309,2026-01-12 02:50:00+00:00,底分型,87.50767090244233,11,GAP_REVERSE_FRACTAL,True,True,226,24.48,-0.2186,2026-01-11 16:10:00+00:00,2026-01-12 03:05:00+00:00,210 | 211 | 212 | 213 | 214 | 215 | 216 | 217 | 218 | 219 | 220,2026-01-11T16:25:00+00:00->2026-01-11T17:05:00+00:00 | 2026-01-11T17:05:00+00:00->2026-01-11T17:35:00+00:00 | 2026-01-11T17:35:00+00:00->2026-01-11T18:25:00+00:00 | 2026-01-11T18:25:00+00:00->2026-01-11T19:15:00+00:00 | 2026-01-11T19:15:00+00:00->2026-01-11T19:35:00+00:00 | 2026-01-11T19:35:00+00:00->2026-01-11T20:25:00+00:00 | 2026-01-11T20:25:00+00:00->2026-01-11T22:45:00+00:00 | 2026-01-11T22:45:00+00:00->2026-01-11T23:25:00+00:00 | 2026-01-11T23:25:00+00:00->2026-01-11T23:50:00+00:00 | 2026-01-11T23:50:00+00:00->2026-01-12T00:55:00+00:00 | 2026-01-12T00:55:00+00:00->2026-01-12T02:50:00+00:00
36,↑ 向上,2026-01-12 02:50:00+00:00,底分型,87.50767090244233,2026-01-12 09:15:00+00:00,顶分型,112.708175080453,3,NO_GAP,False,False,226,25.2,0.288,2026-01-12 02:45:00+00:00,2026-01-12 09:20:00+00:00,221 | 222 | 223,2026-01-12T02:50:00+00:00->2026-01-12T04:55:00+00:00 | 2026-01-12T04:55:00+00:00->2026-01-12T07:15:00+00:00 | 2026-01-12T07:15:00+00:00->2026-01-12T09:15:00+00:00
