序列起点笔位置,待识别线段方向,特征元素序号,元素合并方向,特征笔方向,包含笔位置,high,low,起点时间,终点时间
72,向下,0,向下,向上,73,97.35022824378508,92.19431604369704,2026-01-05 02:55:00+00:00,2026-01-05 03:20:00+00:00
72,向下,1,向下,向上,75 | 77,108.89928782046144,89.45099765756609,2026-01-05 04:05:00+00:00,2026-01-05 09:15:00+00:00
72,向下,2,向上,向上,79,110.75438145810709,102.68064018510798,2026-01-05 09:40:00+00:00,2026-01-05 10:15:00+00:00
72,向下,3,向下,向上,75 | 77,108.89928782046144,89.45099765756609,2026-01-05 04:05:00+00:00,2026-01-05 09:15:00+00:00
72,向下,4,向下,向上,79,110.75438145810709,102.68064018510798,2026-01-05 09:40:00+00:00,2026-01-05 10:15:00+00:00
72,向下,5,向下,向上,77,108.89928782046144,89.84500440008321,2026-01-05 08:15:00+00:00,2026-01-05 09:15:00+00:00
72,向下,6,向下,向上,79,110.75438145810709,102.68064018510798,2026-01-05 09:40:00+00:00,2026-01-05 10:15:00+00:00
72,向下,7,向下,向上,79,110.75438145810709,102.68064018510798,2026-01-05 09:40:00+00:00,2026-01-05 10:15:00+00:00
75,向上,0,向上,向下,76 | 78,110.69626968300722,102.68064018510798,2026-01-05 06:10:00+00:00,2026-01-05 09:40:00+00:00
75,向上,1,向上,向下,80 | 82,110.75438145810709,103.43732071905583,2026-01-05 10:15:00+00:00,2026-01-05 13:50:00+00:00
75,向上,2,向下,向下,84,109.78867272086906,90.39620611770233,2026-01-05 14:25:00+00:00,2026-01-05 16:25:00+00:00
75,向上,3,向上,向下,78,108.89928782046144,102.68064018510798,2026-01-05 09:15:00+00:00,2026-01-05 09:40:00+00:00
75,向上,4,向上,向下,80 | 82,110.75438145810709,103.43732071905583,2026-01-05 10:15:00+00:00,2026-01-05 13:50:00+00:00
75,向上,5,向下,向下,84,109.78867272086906,90.39620611770233,2026-01-05 14:25:00+00:00,2026-01-05 16:25:00+00:00
75,向上,6,向上,向下,80 | 82,110.75438145810709,103.43732071905583,2026-01-05 10:15:00+00:00,2026-01-05 13:50:00+00:00
75,向上,7,向上,向下,84,109.78867272086906,90.39620611770233,2026-01-05 14:25:00+00:00,2026-01-05 16:25:00+00:00
75,向上,8,向上,向下,82,109.09960292921683,103.43732071905583,2026-01-05 13:30:00+00:00,2026-01-05 13:50:00+00:00
75,向上,9,向上,向下,84,109.78867272086906,90.39620611770233,2026-01-05 14:25:00+00:00,2026-01-05 16:25:00+00:00
75,向上,11,向上,向下,84,109.78867272086906,90.39620611770233,2026-01-05 14:25:00+00:00,2026-01-05 16:25:00+00:00
80,向下,0,向下,向上,81,109.09960292921683,90.41078147396594,2026-01-05 12:15:00+00:00,2026-01-05 13:30:00+00:00
80,向下,1,向下,向上,83,109.78867272086906,103.43732071905583,2026-01-05 13:50:00+00:00,2026-01-05 14:25:00+00:00
80,向下,2,向下,向上,83,109.78867272086906,103.43732071905583,2026-01-05 13:50:00+00:00,2026-01-05 14:25:00+00:00
80,向下,3,向下,向上,85,109.50605311626458,90.39620611770233,2026-01-05 16:25:00+00:00,2026-01-05 17:45:00+00:00
80,向下,4,向上,向上,87,109.58597942759285,102.9000145133297,2026-01-05 18:15:00+00:00,2026-01-05 18:50:00+00:00
80,向下,5,向下,向上,85,109.50605311626458,90.39620611770233,2026-01-05 16:25:00+00:00,2026-01-05 17:45:00+00:00
80,向下,6,向下,向上,87,109.58597942759285,102.9000145133297,2026-01-05 18:15:00+00:00,2026-01-05 18:50:00+00:00
80,向下,7,向下,向上,87,109.58597942759285,102.9000145133297,2026-01-05 18:15:00+00:00,2026-01-05 18:50:00+00:00
85,向上,0,向上,向下,86,109.50605311626458,102.9000145133297,2026-01-05 17:45:00+00:00,2026-01-05 18:15:00+00:00
85,向上,1,向上,向下,88,109.58597942759285,90.76010984605865,2026-01-05 18:50:00+00:00,2026-01-05 19:50:00+00:00
85,向上,2,向下,向下,90,97.0428484168064,90.2680776456478,2026-01-05 20:10:00+00:00,2026-01-05 20:50:00+00:00
85,向上,3,向上,向下,88,109.58597942759285,90.76010984605865,2026-01-05 18:50:00+00:00,2026-01-05 19:50:00+00:00
85,向上,4,向上,向下,90,97.0428484168064,90.2680776456478,2026-01-05 20:10:00+00:00,2026-01-05 20:50:00+00:00
85,向上,5,向上,向下,90,97.0428484168064,90.2680776456478,2026-01-05 20:10:00+00:00,2026-01-05 20:50:00+00:00
88,向下,0,向下,向上,89,97.0428484168064,90.76010984605865,2026-01-05 19:50:00+00:00,2026-01-05 20:10:00+00:00
88,向下,1,向下,向上,91 | 93,108.89866203851446,90.2680776456478,2026-01-05 20:50:00+00:00,2026-01-05 22:50:00+00:00
88,向下,2,向下,向上,95,96.51894439096942,89.8845761521106,2026-01-06 00:05:00+00:00,2026-01-06 00:30:00+00:00
88,向下,3,向下,向上,91 | 93,108.89866203851446,90.2680776456478,2026-01-05 20:50:00+00:00,2026-01-05 22:50:00+00:00
88,向下,4,向下,向上,95,96.51894439096942,89.8845761521106,2026-01-06 00:05:00+00:00,2026-01-06 00:30:00+00:00
88,向下,5,向上,向上,97,110.50734880882763,91.32404314543497,2026-01-06 01:05:00+00:00,2026-01-06 02:10:00+00:00
88,向下,6,向下,向上,93,108.89866203851446,103.08437317120303,2026-01-05 22:35:00+00:00,2026-01-05 22:50:00+00:00
88,向下,7,向下,向上,95,96.51894439096942,89.8845761521106,2026-01-06 00:05:00+00:00,2026-01-06 00:30:00+00:00
88,向下,8,向上,向上,97,110.50734880882763,91.32404314543497,2026-01-06 01:05:00+00:00,2026-01-06 02:10:00+00:00
88,向下,9,向下,向上,95,96.51894439096942,89.8845761521106,2026-01-06 00:05:00+00:00,2026-01-06 00:30:00+00:00
88,向下,10,向下,向上,97,110.50734880882763,91.32404314543497,2026-01-06 01:05:00+00:00,2026-01-06 02:10:00+00:00
88,向下,11,向下,向上,97,110.50734880882763,91.32404314543497,2026-01-06 01:05:00+00:00,2026-01-06 02:10:00+00:00
95,向上,0,向上,向下,96,96.51894439096942,91.32404314543497,2026-01-06 00:30:00+00:00,2026-01-06 01:05:00+00:00
95,向上,1,向上,向下,98 | 100 | 102,110.85617700414113,91.6246737202856,2026-01-06 02:10:00+00:00,2026-01-06 08:30:00+00:00
95,向上,2,向上,向下,104,111.40991252945928,102.65541518754767,2026-01-06 10:30:00+00:00,2026-01-06 11:20:00+00:00
95,向上,3,向上,向下,98 | 100,110.50734880882763,91.6246737202856,2026-01-06 02:10:00+00:00,2026-01-06 05:25:00+00:00
95,向上,4,向上,向下,102,110.85617700414113,89.55395074434,2026-01-06 06:25:00+00:00,2026-01-06 08:30:00+00:00
95,向上,5,向上,向下,104,111.40991252945928,102.65541518754767,2026-01-06 10:30:00+00:00,2026-01-06 11:20:00+00:00
95,向上,6,向上,向下,100,97.18815515559982,91.6246737202856,2026-01-06 04:50:00+00:00,2026-01-06 05:25:00+00:00
95,向上,7,向上,向下,102,110.85617700414113,89.55395074434,2026-01-06 06:25:00+00:00,2026-01-06 08:30:00+00:00
95,向上,8,向上,向下,104,111.40991252945928,102.65541518754767,2026-01-06 10:30:00+00:00,2026-01-06 11:20:00+00:00
95,向上,9,向上,向下,102,110.85617700414113,89.55395074434,2026-01-06 06:25:00+00:00,2026-01-06 08:30:00+00:00
95,向上,10,向上,向下,104,111.40991252945928,102.65541518754767,2026-01-06 10:30:00+00:00,2026-01-06 11:20:00+00:00
95,向上,11,向下,向下,106,107.93998492290854,88.46300700071127,2026-01-06 11:40:00+00:00,2026-01-06 12:45:00+00:00
95,向上,12,向上,向下,104,111.40991252945928,102.65541518754767,2026-01-06 10:30:00+00:00,2026-01-06 11:20:00+00:00
95,向上,13,向上,向下,106,107.93998492290854,88.46300700071127,2026-01-06 11:40:00+00:00,2026-01-06 12:45:00+00:00
95,向上,14,向上,向下,106,107.93998492290854,88.46300700071127,2026-01-06 11:40:00+00:00,2026-01-06 12:45:00+00:00
104,向下,0,向下,向上,105,107.93998492290854,102.65541518754767,2026-01-06 11:20:00+00:00,2026-01-06 11:40:00+00:00
104,向下,1,向下,向上,107,97.75733366280588,88.46300700071127,2026-01-06 12:45:00+00:00,2026-01-06 13:20:00+00:00
104,向下,2,向上,向上,109,110.967879286437,92.72325855304342,2026-01-06 13:40:00+00:00,2026-01-06 14:55:00+00:00
104,向下,3,向下,向上,107,97.75733366280588,88.46300700071127,2026-01-06 12:45:00+00:00,2026-01-06 13:20:00+00:00
104,向下,4,向下,向上,109,110.967879286437,92.72325855304342,2026-01-06 13:40:00+00:00,2026-01-06 14:55:00+00:00
104,向下,5,向下,向上,109,110.967879286437,92.72325855304342,2026-01-06 13:40:00+00:00,2026-01-06 14:55:00+00:00
104,向下,6,向下,向上,111,111.41225738501696,88.53279277522964,2026-01-06 17:00:00+00:00,2026-01-06 19:05:00+00:00
104,向下,7,向上,向上,113,112.1854404477716,88.82535769470702,2026-01-06 21:20:00+00:00,2026-01-06 23:15:00+00:00
104,向下,8,向下,向上,111,111.41225738501696,88.53279277522964,2026-01-06 17:00:00+00:00,2026-01-06 19:05:00+00:00
104,向下,9,向下,向上,113,112.1854404477716,88.82535769470702,2026-01-06 21:20:00+00:00,2026-01-06 23:15:00+00:00
104,向下,10,向下,向上,113,112.1854404477716,88.82535769470702,2026-01-06 21:20:00+00:00,2026-01-06 23:15:00+00:00
104,向下,11,向下,向上,115 | 117,99.22824747548019,87.59925675269392,2026-01-07 01:20:00+00:00,2026-01-07 06:20:00+00:00
104,向下,12,向上,向上,119,112.08794609929859,95.62149998138698,2026-01-07 06:40:00+00:00,2026-01-07 07:35:00+00:00
104,向下,13,向下,向上,115 | 117,99.22824747548019,87.59925675269392,2026-01-07 01:20:00+00:00,2026-01-07 06:20:00+00:00
104,向下,14,向下,向上,119,112.08794609929859,95.62149998138698,2026-01-07 06:40:00+00:00,2026-01-07 07:35:00+00:00
